Log Path,IB HCA Port,NCCL OOB Port,GLOO TCP Port,Master Port,Log Name,X4 MTU,X8 MTU,Nodes,Communication Type,Grad Accum,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10
/var/home/cloud-user/llm.c/logs/ibhcaNA_ncclifnameNA_glooifnameNA_masterNA/tcp,NA,NA,NA,NA,stdout_nnodes1_nprocs4_numiter10_gradaccum10_bs32_seq1024_totalbs1310720_x4mtu1500_x8mtu9000.log,1500,9000,1,tcp,10,13589.02,760.31,766.88,759.32,763.24,762.37,764.21,768.24,762.55,768.11
/var/home/cloud-user/llm.c/logs/ibhcaNA_ncclifnameNA_glooifnameNA_masterNA/tcp,NA,NA,NA,NA,stdout_nnodes1_nprocs4_numiter10_gradaccum1_bs32_seq1024_totalbs131072_x4mtu1500_x8mtu9000.log,1500,9000,1,tcp,1,13361.74,113.28,93.28,93.42,94.19,94.61,92.58,93.19,93.32,92.78
/var/home/cloud-user/llm.c/logs/ibhcaNA_ncclifnameNA_glooifnameNA_masterNA/tcp,NA,NA,NA,NA,stdout_nnodes1_nprocs4_numiter10_gradaccum2_bs32_seq1024_totalbs262144_x4mtu1500_x8mtu9000.log,1500,9000,1,tcp,2,13216.44,168.69,165.51,167.58,166.31,165.37,165.97,165.69,165.84,166.25
/var/home/cloud-user/llm.c/logs/ibhcaNA_ncclifnameNA_glooifnameNA_masterNA/tcp,NA,NA,NA,NA,stdout_nnodes1_nprocs4_numiter10_gradaccum3_bs32_seq1024_totalbs393216_x4mtu1500_x8mtu9000.log,1500,9000,1,tcp,3,13539.16,241.8,238.22,238.54,239.13,239.07,239.4,238.41,239.08,238.98
/var/home/cloud-user/llm.c/logs/ibhcaNA_ncclifnameNA_glooifnameNA_masterNA/tcp,NA,NA,NA,NA,stdout_nnodes1_nprocs4_numiter10_gradaccum4_bs32_seq1024_totalbs524288_x4mtu1500_x8mtu9000.log,1500,9000,1,tcp,4,13102.33,315.15,313.03,312.05,312.01,313.78,313.38,313.04,313.06,313.59
/var/home/cloud-user/llm.c/logs/ibhcaNA_ncclifnameNA_glooifnameNA_masterNA/tcp,NA,NA,NA,NA,stdout_nnodes1_nprocs4_numiter10_gradaccum5_bs32_seq1024_totalbs655360_x4mtu1500_x8mtu9000.log,1500,9000,1,tcp,5,13798.39,386.32,386.73,387.71,388.88,387.82,389.84,392.53,388.57,386.33
/var/home/cloud-user/llm.c/logs/ibhcaNA_ncclifnameNA_glooifnameNA_masterNA/tcp,NA,NA,NA,NA,stdout_nnodes1_nprocs4_numiter10_gradaccum6_bs32_seq1024_totalbs786432_x4mtu1500_x8mtu9000.log,1500,9000,1,tcp,6,13192.72,466.51,459.82,461.34,461.61,463.72,461.97,464.17,462.31,465.66
/var/home/cloud-user/llm.c/logs/ibhcaNA_ncclifnameNA_glooifnameNA_masterNA/tcp,NA,NA,NA,NA,stdout_nnodes1_nprocs4_numiter10_gradaccum7_bs32_seq1024_totalbs917504_x4mtu1500_x8mtu9000.log,1500,9000,1,tcp,7,14009.24,536.39,543.47,539.01,541.06,540.62,540.23,541.57,542.58,539.15
/var/home/cloud-user/llm.c/logs/ibhcaNA_ncclifnameNA_glooifnameNA_masterNA/tcp,NA,NA,NA,NA,stdout_nnodes1_nprocs4_numiter10_gradaccum8_bs32_seq1024_totalbs1048576_x4mtu1500_x8mtu9000.log,1500,9000,1,tcp,8,13477.42,609.44,617.42,611.01,613.0,612.45,619.34,616.17,615.23,620.0
/var/home/cloud-user/llm.c/logs/ibhcaNA_ncclifnameNA_glooifnameNA_masterNA/tcp,NA,NA,NA,NA,stdout_nnodes1_nprocs4_numiter10_gradaccum9_bs32_seq1024_totalbs1179648_x4mtu1500_x8mtu9000.log,1500,9000,1,tcp,9,13991.22,685.15,692.81,686.64,690.4,690.4,686.54,692.38,689.98,693.42
/var/home/cloud-user/llm.c/logs/ibhcaX8_ncclifnameX4_glooifnameX8_masterX8/gdrdma,X8,X4,X8,X8,stdout_nnodes2_nprocs4_numiter10_gradaccum10_bs32_seq1024_totalbs2621440_x4mtu1500_x8mtu9000.log,1500,9000,2,gdrdma,10,13923.97,777.81,781.52,777.22,781.71,778.42,782.18,780.05,788.21,778.66
/var/home/cloud-user/llm.c/logs/ibhcaX8_ncclifnameX4_glooifnameX8_masterX8/gdrdma,X8,X4,X8,X8,stdout_nnodes2_nprocs4_numiter10_gradaccum1_bs32_seq1024_totalbs262144_x4mtu1500_x8mtu9000.log,1500,9000,2,gdrdma,1,13997.67,113.37,109.53,109.82,109.78,109.26,109.47,109.31,110.81,109.58
/var/home/cloud-user/llm.c/logs/ibhcaX8_ncclifnameX4_glooifnameX8_masterX8/gdrdma,X8,X4,X8,X8,stdout_nnodes2_nprocs4_numiter10_gradaccum2_bs32_seq1024_totalbs524288_x4mtu1500_x8mtu9000.log,1500,9000,2,gdrdma,2,13765.42,185.18,186.02,183.56,183.12,182.97,183.79,183.49,183.55,183.65
/var/home/cloud-user/llm.c/logs/ibhcaX8_ncclifnameX4_glooifnameX8_masterX8/gdrdma,X8,X4,X8,X8,stdout_nnodes2_nprocs4_numiter10_gradaccum3_bs32_seq1024_totalbs786432_x4mtu1500_x8mtu9000.log,1500,9000,2,gdrdma,3,13948.23,260.71,257.25,257.13,257.11,256.6,257.16,257.92,257.63,257.1
/var/home/cloud-user/llm.c/logs/ibhcaX8_ncclifnameX4_glooifnameX8_masterX8/gdrdma,X8,X4,X8,X8,stdout_nnodes2_nprocs4_numiter10_gradaccum4_bs32_seq1024_totalbs1048576_x4mtu1500_x8mtu9000.log,1500,9000,2,gdrdma,4,13507.98,336.18,331.52,332.57,330.3,330.49,331.93,330.4,331.07,331.53
/var/home/cloud-user/llm.c/logs/ibhcaX8_ncclifnameX4_glooifnameX8_masterX8/gdrdma,X8,X4,X8,X8,stdout_nnodes2_nprocs4_numiter10_gradaccum5_bs32_seq1024_totalbs1310720_x4mtu1500_x8mtu9000.log,1500,9000,2,gdrdma,5,13995.01,407.68,405.86,409.09,404.63,404.06,413.04,408.07,406.52,408.76
/var/home/cloud-user/llm.c/logs/ibhcaX8_ncclifnameX4_glooifnameX8_masterX8/gdrdma,X8,X4,X8,X8,stdout_nnodes2_nprocs4_numiter10_gradaccum6_bs32_seq1024_totalbs1572864_x4mtu1500_x8mtu9000.log,1500,9000,2,gdrdma,6,14031.0,483.4,481.76,482.75,482.48,480.6,481.13,481.71,482.19,481.82
