[SUM]   0.00-1.00   sec  26.1 GBytes   224 Gbits/sec                  
[SUM]   1.00-2.00   sec  26.3 GBytes   226 Gbits/sec                  
[SUM]   2.00-3.00   sec  26.3 GBytes   226 Gbits/sec                  
[SUM]   3.00-4.00   sec  26.2 GBytes   225 Gbits/sec                  
[SUM]   4.00-5.00   sec  26.2 GBytes   225 Gbits/sec                  
[SUM]   5.00-6.00   sec  26.2 GBytes   225 Gbits/sec                  
[SUM]   6.00-7.00   sec  26.2 GBytes   225 Gbits/sec                  
[SUM]   7.00-8.00   sec  26.2 GBytes   225 Gbits/sec                  
[SUM]   8.00-9.00   sec  26.2 GBytes   225 Gbits/sec                  
[SUM]   9.00-10.00  sec  26.2 GBytes   225 Gbits/sec                  
[SUM]  10.00-10.01  sec   306 MBytes   215 Gbits/sec                  
[SUM]   0.00-10.01  sec   262 GBytes   225 Gbits/sec                  receiver
