---------------------------------------------------------------------------------------
                    RDMA_Read BW Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 128
 CQ Moderation   : 100
 CQE Poll Batch  : 16
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 3
 Outstand reads  : 16
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x0167 PSN 0x78abe1 OUT 0x10 RKey 0x183000 VAddr 0x007f588b6da000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:83
 remote address: LID 0000 QPN 0x0167 PSN 0x4df66e OUT 0x10 RKey 0x182e00 VAddr 0x007f284b79e000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:174
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[Gb/sec]    BW average[Gb/sec]   MsgRate[Mpps]
 2          1000           0.080000            0.077299            4.831156
 4          1000             0.16               0.16   		     4.971914
 8          1000             0.32               0.32   		     4.994262
 16         1000             0.64               0.61   		     4.765768
 32         1000             1.28               1.28   		     4.988283
 64         1000             2.55               2.54   		     4.969685
 128        1000             5.09               5.07   		     4.950005
 256        1000             10.00              9.59   		     4.680547
 512        1000             20.08              20.03  		     4.889253
 1024       1000             40.42              40.32  		     4.921744
 2048       1000             69.29              69.19  		     4.222791
 4096       1000             116.29             114.90 		     3.506456
 8192       1000             160.28             160.20 		     2.444390
 16384      1000             195.56             195.55 		     1.491892
 32768      1000             207.47             207.34 		     0.790958
 65536      1000             220.29             220.26 		     0.420117
 131072     1000             226.05             226.05 		     0.215578
 262144     1000             225.85             225.84 		     0.107687
 524288     1000             226.23             226.23 		     0.053937
 1048576    1000             226.26             226.26 		     0.026972
 2097152    1000             226.29             226.29 		     0.013488
 4194304    1000             226.29             226.29 		     0.006744
 8388608    1000             226.27             226.27 		     0.003372
---------------------------------------------------------------------------------------
