---------------------------------------------------------------------------------------
                    RDMA_Read BW Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 128
 CQ Moderation   : 100
 CQE Poll Batch  : 16
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 5
 Outstand reads  : 16
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x01e5 PSN 0xc6e0ee OUT 0x10 RKey 0x183100 VAddr 0x007fbfe7dc9000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:174
 remote address: LID 0000 QPN 0x01e5 PSN 0xc5fb0e OUT 0x10 RKey 0x183100 VAddr 0x007f5c478d9000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:83
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[Gb/sec]    BW average[Gb/sec]   MsgRate[Mpps]
 2          1000           0.079470            0.077557            4.847310
 4          1000             0.16               0.16   		     4.924405
 8          1000             0.32               0.31   		     4.912556
 16         1000             0.63               0.63   		     4.938272
 32         1000             1.26               0.62   		     2.414059
 64         1000             2.51               1.20   		     2.352830
 128        1000             4.98               2.43   		     2.368770
 256        1000             9.83               4.90   		     2.392515
 512        1000             19.99              9.45   		     2.307641
 1024       1000             38.32              18.56  		     2.265827
 2048       1000             67.27              67.15  		     4.098361
 4096       1000             110.37             62.64  		     1.911753
 8192       1000             157.88             105.48 		     1.609528
 16384      1000             190.88             142.91 		     1.090310
 32768      1000             200.89             175.09 		     0.667909
 65536      1000             214.01             201.55 		     0.384429
 131072     1000             219.39             214.94 		     0.204983
 262144     1000             218.81             217.62 		     0.103767
 524288     1000             223.49             223.48 		     0.053283
 1048576    1000             224.96             224.96 		     0.026817
 2097152    1000             225.58             225.58 		     0.013446
 4194304    1000             226.23             226.23 		     0.006742
 8388608    1000             225.95             225.95 		     0.003367
---------------------------------------------------------------------------------------
