---------------------------------------------------------------------------------------
                    RDMA_Read BW Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 2		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 128
 CQ Moderation   : 100
 CQE Poll Batch  : 16
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 5
 Outstand reads  : 16
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x01e6 PSN 0x6791d3 OUT 0x10 RKey 0x182e00 VAddr 0x007fbfe9da9000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:174
 local address: LID 0000 QPN 0x01e7 PSN 0x6812c1 OUT 0x10 RKey 0x182e00 VAddr 0x007fbfea5a9000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:174
 remote address: LID 0000 QPN 0x01e6 PSN 0xa565c6 OUT 0x10 RKey 0x183100 VAddr 0x007f1424dce000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:83
 remote address: LID 0000 QPN 0x01e7 PSN 0x2ba338 OUT 0x10 RKey 0x183100 VAddr 0x007f14255ce000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:83
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[Gb/sec]    BW average[Gb/sec]   MsgRate[Mpps]
 2          2000           0.080000            0.079347            4.959213
 4          2000             0.16               0.10   		     3.169974
 8          2000             0.31               0.21   		     3.250447
 16         2000             0.63               0.43   		     3.342358
 32         2000             1.27               0.86   		     3.370067
 64         2000             2.53               1.71   		     3.337115
 128        2000             4.91               3.09   		     3.016318
 256        2000             10.11              6.79   		     3.314937
 512        2000             20.17              13.37  		     3.264505
 1024       2000             40.24              27.20  		     3.320769
 2048       2000             77.61              53.31  		     3.253777
 4096       2000             158.21             102.59 		     3.130786
 8192       2000             188.56             147.02 		     2.243410
 16384      2000             216.21             216.14 		     1.648995
 32768      2000             223.25             223.21 		     0.851477
 65536      2000             219.43             216.21 		     0.412397
 131072     2000             227.58             226.48 		     0.215990
 262144     2000             225.78             225.77 		     0.107658
 524288     2000             226.18             226.18 		     0.053925
 1048576    2000             227.33             227.33 		     0.027099
 2097152    2000             226.85             145.43 		     0.008668
 4194304    2000             228.14             228.14 		     0.006799
 8388608    2000             228.29             228.29 		     0.003402
---------------------------------------------------------------------------------------
