---------------------------------------------------------------------------------------
                    RDMA_Write BW Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 128
 CQ Moderation   : 100
 CQE Poll Batch  : 16
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 3
 Max inline data : 0[B]
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x0127 PSN 0xde9835 RKey 0x182eed VAddr 0x007f37ba9b7000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:83
 remote address: LID 0000 QPN 0x0127 PSN 0x6aaac9 RKey 0x182eed VAddr 0x007f8ace78f000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:174
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[Gb/sec]    BW average[Gb/sec]   MsgRate[Mpps]
 2          5000           0.083527            0.082596            5.162251
 4          5000             0.17               0.17   		     5.166357
 8          5000             0.33               0.33   		     5.166265
 16         5000             0.67               0.67   		     5.240431
 32         5000             1.34               1.33   		     5.189306
 64         5000             2.67               2.65   		     5.169830
 128        5000             5.37               5.30   		     5.178075
 256        5000             10.69              10.59  		     5.172502
 512        5000             21.24              20.99  		     5.124370
 1024       5000             42.87              42.75  		     5.218827
 2048       5000             84.36              83.61  		     5.102978
 4096       5000             149.85             149.10 		     4.550253
 8192       5000             191.00             190.83 		     2.911777
 16384      5000             212.93             212.86 		     1.624020
 32768      5000             222.24             222.21 		     0.847659
 65536      5000             224.10             224.08 		     0.427408
 131072     5000             225.47             225.46 		     0.215011
 262144     5000             226.04             226.04 		     0.107783
 524288     5000             226.12             226.11 		     0.053909
 1048576    5000             226.28             226.27 		     0.026974
 2097152    5000             226.29             226.29 		     0.013488
 4194304    5000             226.24             226.24 		     0.006743
 8388608    5000             226.24             226.24 		     0.003371
---------------------------------------------------------------------------------------
