---------------------------------------------------------------------------------------
                    RDMA_Write BW Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 128
 CQ Moderation   : 100
 CQE Poll Batch  : 16
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 5
 Max inline data : 0[B]
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x01a6 PSN 0x5d1953 RKey 0x183100 VAddr 0x007f2be1438000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:174
 remote address: LID 0000 QPN 0x01a6 PSN 0x6430c3 RKey 0x183100 VAddr 0x007fa4ef58b000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:83
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[Gb/sec]    BW average[Gb/sec]   MsgRate[Mpps]
 2          5000           0.080178            0.079683            4.980179
 4          5000             0.16               0.16   		     4.958153
 8          5000             0.32               0.32   		     4.977204
 16         5000             0.64               0.64   		     4.975818
 32         5000             1.28               1.25   		     4.877478
 64         5000             2.56               2.54   		     4.968351
 128        5000             5.12               4.90   		     4.782539
 256        5000             10.17              8.96   		     4.373113
 512        5000             20.43              20.24  		     4.942372
 1024       5000             40.87              40.62  		     4.958400
 2048       5000             81.74              67.94  		     4.146453
 4096       5000             149.85             124.58 		     3.801733
 8192       5000             191.25             169.58 		     2.587590
 16384      5000             213.24             200.03 		     1.526135
 32768      5000             174.45             159.24 		     0.607442
 65536      5000             183.43             180.94 		     0.345107
 131072     5000             190.20             186.62 		     0.177975
 262144     5000             201.30             201.29 		     0.095982
 524288     5000             212.02             212.02 		     0.050548
 1048576    5000             223.14             223.13 		     0.026600
 2097152    5000             226.14             226.14 		     0.013479
 4194304    5000             226.07             226.07 		     0.006738
 8388608    5000             226.29             226.29 		     0.003372
---------------------------------------------------------------------------------------
