---------------------------------------------------------------------------------------
                    RDMA_Write BW Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 2		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 128
 CQ Moderation   : 100
 CQE Poll Batch  : 16
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 3
 Max inline data : 0[B]
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x0128 PSN 0x348a81 RKey 0x182fee VAddr 0x007f0221ab3000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:83
 local address: LID 0000 QPN 0x0129 PSN 0x8248d7 RKey 0x182fee VAddr 0x007f02222b3000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:83
 remote address: LID 0000 QPN 0x0128 PSN 0xda6b25 RKey 0x182eed VAddr 0x007f46adc60000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:174
 remote address: LID 0000 QPN 0x0129 PSN 0x9cb9e2 RKey 0x182eed VAddr 0x007f46ae460000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:174
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[Gb/sec]    BW average[Gb/sec]   MsgRate[Mpps]
 2          10000           0.082943            0.082566            5.160384
 4          10000            0.17               0.16   		     5.139859
 8          10000            0.33               0.33   		     5.202356
 16         10000            0.66               0.66   		     5.168213
 32         10000            1.32               1.32   		     5.138641
 64         10000            2.65               2.65   		     5.167528
 128        10000            5.31               5.28   		     5.158708
 256        10000            10.59              10.51  		     5.131086
 512        10000            21.38              21.22  		     5.181482
 1024       10000            42.37              42.10  		     5.139355
 2048       10000            84.55              84.32  		     5.146181
 4096       10000            169.48             168.85 		     5.152896
 8192       10000            222.40             222.31 		     3.392243
 16384      10000            227.72             227.64 		     1.736762
 32768      10000            229.23             229.23 		     0.874429
 65536      10000            229.50             229.47 		     0.437685
 131072     10000            230.55             230.54 		     0.219858
 262144     10000            230.45             230.45 		     0.109885
 524288     10000            230.81             230.80 		     0.055027
 1048576    10000            230.82             230.81 		     0.027515
 2097152    10000            230.88             230.88 		     0.013762
 4194304    10000            230.89             230.89 		     0.006881
 8388608    10000            230.90             230.90 		     0.003441
---------------------------------------------------------------------------------------
