---------------------------------------------------------------------------------------
                    RDMA_Write BW Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 2		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 128
 CQ Moderation   : 100
 CQE Poll Batch  : 16
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 5
 Max inline data : 0[B]
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x01a7 PSN 0xd4907e RKey 0x182e00 VAddr 0x007f3d2d3cd000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:174
 local address: LID 0000 QPN 0x01a8 PSN 0xb896c7 RKey 0x182e00 VAddr 0x007f3d2dbcd000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:174
 remote address: LID 0000 QPN 0x01a7 PSN 0xe7ed07 RKey 0x183100 VAddr 0x007f920d286000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:83
 remote address: LID 0000 QPN 0x01a8 PSN 0xef9fe5 RKey 0x183100 VAddr 0x007f920da86000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:83
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[Gb/sec]    BW average[Gb/sec]   MsgRate[Mpps]
 2          10000           0.077922            0.075664            4.729027
 4          10000            0.16               0.16   		     4.895913
 8          10000            0.32               0.31   		     4.917316
 16         10000            0.63               0.63   		     4.889689
 32         10000            1.26               1.25   		     4.899308
 64         10000            2.53               2.52   		     4.912436
 128        10000            5.01               4.95   		     4.838047
 256        10000            10.13              10.06  		     4.909855
 512        10000            20.12              18.76  		     4.580369
 1024       10000            40.33              37.09  		     4.527345
 2048       10000            80.14              73.31  		     4.474633
 4096       10000            162.75             147.21 		     4.492343
 8192       10000            221.07             208.50 		     3.181410
 16384      10000            226.86             207.38 		     1.582178
 32768      10000            182.61             30.44  		     0.116109
 65536      10000            228.04             227.36 		     0.433652
 131072     10000            227.51             227.16 		     0.216638
 262144     10000            227.38             227.38 		     0.108421
 524288     10000            222.86             222.38 		     0.053020
 1048576    10000            227.63             226.37 		     0.026985
 2097152    10000            229.08             228.41 		     0.013614
 4194304    10000            228.35             228.35 		     0.006805
 8388608    10000            228.38             228.38 		     0.003403
---------------------------------------------------------------------------------------
