---------------------------------------------------------------------------------------
                    RDMA_Read BW Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 128
 CQ Moderation   : 100
 CQE Poll Batch  : 16
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 3
 Outstand reads  : 16
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x1517 PSN 0xbd338d OUT 0x10 RKey 0x183200 VAddr 0x007f69a392c000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:83
 remote address: LID 0000 QPN 0x1517 PSN 0x71a8e3 OUT 0x10 RKey 0x183100 VAddr 0x007fa5e8136000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:174
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[Gb/sec]    BW average[Gb/sec]   MsgRate[Mpps]
 2          1000           0.057878            0.055515            3.469695
 4          1000             0.11               0.11   		     3.510250
 8          1000             0.23               0.23   		     3.563807
 16         1000             0.46               0.46   		     3.619121
 32         1000             0.90               0.90   		     3.505202
 64         1000             1.86               1.86   		     3.624630
 128        1000             3.67               3.65   		     3.567222
 256        1000             7.19               7.14   		     3.487723
 512        1000             14.84              14.78  		     3.608024
 1024       1000             29.68              29.56  		     3.608285
 2048       1000             57.60              57.13  		     3.487112
 4096       1000             107.48             107.15 		     3.270002
 8192       1000             154.40             154.22 		     2.353163
 16384      1000             193.51             193.41 		     1.475600
 32768      1000             205.16             205.13 		     0.782497
 65536      1000             219.47             219.44 		     0.418545
 131072     1000             225.62             225.62 		     0.215166
 262144     1000             225.72             225.72 		     0.107629
 524288     1000             225.82             225.82 		     0.053839
 1048576    1000             225.86             225.86 		     0.026924
 2097152    1000             225.86             225.85 		     0.013462
 4194304    1000             225.86             225.86 		     0.006731
 8388608    1000             225.75             225.75 		     0.003364
---------------------------------------------------------------------------------------
