---------------------------------------------------------------------------------------
                    RDMA_Read BW Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 128
 CQ Moderation   : 100
 CQE Poll Batch  : 16
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 5
 Outstand reads  : 16
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x1595 PSN 0x6caad4 OUT 0x10 RKey 0x183100 VAddr 0x007f5b5a672000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:174
 remote address: LID 0000 QPN 0x1595 PSN 0x247ccc OUT 0x10 RKey 0x183200 VAddr 0x007f242763e000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:83
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[Gb/sec]    BW average[Gb/sec]   MsgRate[Mpps]
 2          1000           0.056515            0.054245            3.390290
 4          1000           0.110260            0.095224            2.975746
 8          1000             0.23               0.13   		     2.059563
 16         1000             0.45               0.44   		     3.415067
 32         1000             0.90               0.66   		     2.566802
 64         1000             1.76               1.75   		     3.409127
 128        1000             3.61               3.59   		     3.509264
 256        1000             7.11               3.95   		     1.929906
 512        1000             14.33              7.90   		     1.928268
 1024       1000             28.67              16.49  		     2.012477
 2048       1000             48.19              29.52  		     1.801932
 4096       1000             75.16              48.67  		     1.485399
 8192       1000             151.39             102.50 		     1.564015
 16384      1000             193.13             192.94 		     1.472017
 32768      1000             177.44             156.39 		     0.596580
 65536      1000             202.90             191.15 		     0.364591
 131072     1000             219.86             205.84 		     0.196308
 262144     1000             213.13             209.50 		     0.099895
 524288     1000             217.19             217.19 		     0.051781
 1048576    1000             222.76             222.76 		     0.026555
 2097152    1000             225.75             225.75 		     0.013456
 4194304    1000             225.75             225.75 		     0.006728
 8388608    1000             225.72             225.64 		     0.003362
---------------------------------------------------------------------------------------
