---------------------------------------------------------------------------------------
                    RDMA_Read BW Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 2		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 128
 CQ Moderation   : 100
 CQE Poll Batch  : 16
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 5
 Outstand reads  : 16
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x1596 PSN 0x42b2a3 OUT 0x10 RKey 0x182e00 VAddr 0x007f9d4982d000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:174
 local address: LID 0000 QPN 0x1597 PSN 0xefeb51 OUT 0x10 RKey 0x182e00 VAddr 0x007f9d4a02d000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:174
 remote address: LID 0000 QPN 0x1596 PSN 0x18c665 OUT 0x10 RKey 0x183200 VAddr 0x007f5dcf9ca000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:83
 remote address: LID 0000 QPN 0x1597 PSN 0xaea0eb OUT 0x10 RKey 0x183200 VAddr 0x007f5dd01ca000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:83
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[Gb/sec]    BW average[Gb/sec]   MsgRate[Mpps]
 2          2000           0.056693            0.055421            3.463803
 4          2000           0.111975            0.086697            2.709293
 8          2000             0.22               0.17   		     2.648201
 16         2000             0.45               0.34   		     2.678021
 32         2000             0.88               0.67   		     2.628017
 64         2000             1.79               1.36   		     2.657737
 128        2000             3.58               2.77   		     2.706542
 256        2000             7.09               7.05   		     3.442696
 512        2000             14.11              10.83  		     2.642951
 1024       2000             28.49              21.47  		     2.620725
 2048       2000             56.63              42.38  		     2.586553
 4096       2000             107.48             104.20 		     3.179902
 8192       2000             156.54             156.32 		     2.385269
 16384      2000             210.20             183.81 		     1.402348
 32768      2000             209.38             196.94 		     0.751272
 65536      2000             215.70             211.24 		     0.402917
 131072     2000             229.33             229.32 		     0.218694
 262144     2000             229.48             229.48 		     0.109425
 524288     2000             228.96             224.70 		     0.053573
 1048576    2000             226.11             226.10 		     0.026954
 2097152    2000             227.40             227.40 		     0.013554
 4194304    2000             227.59             227.59 		     0.006783
 8388608    2000             228.00             228.00 		     0.003398
---------------------------------------------------------------------------------------
