---------------------------------------------------------------------------------------
                    RDMA_Write BW Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 128
 CQ Moderation   : 100
 CQE Poll Batch  : 16
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 3
 Max inline data : 0[B]
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x14d8 PSN 0x3ac576 RKey 0x183200 VAddr 0x007f581a09e000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:83
 remote address: LID 0000 QPN 0x14d8 PSN 0x5e104e RKey 0x183100 VAddr 0x007fc768d82000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:174
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[Gb/sec]    BW average[Gb/sec]   MsgRate[Mpps]
 2          5000           0.059113            0.058401            3.650087
 4          5000             0.12               0.12   		     3.681425
 8          5000             0.24               0.23   		     3.656014
 16         5000             0.47               0.47   		     3.637026
 32         5000             0.95               0.94   		     3.676876
 64         5000             1.87               1.86   		     3.634513
 128        5000             3.77               3.76   		     3.670425
 256        5000             7.46               7.42   		     3.623214
 512        5000             15.11              15.02  		     3.667840
 1024       5000             30.07              29.99  		     3.661126
 2048       5000             60.04              59.66  		     3.641236
 4096       5000             117.59             116.26 		     3.547911
 8192       5000             182.27             182.17 		     2.779631
 16384      5000             210.80             210.68 		     1.607351
 32768      5000             219.59             219.51 		     0.837367
 65536      5000             223.38             223.34 		     0.425982
 131072     5000             224.87             224.86 		     0.214444
 262144     5000             225.44             225.42 		     0.107490
 524288     5000             225.71             225.70 		     0.053812
 1048576    5000             225.86             225.86 		     0.026925
 2097152    5000             225.86             225.86 		     0.013462
 4194304    5000             225.73             225.72 		     0.006727
 8388608    5000             225.75             225.74 		     0.003364
---------------------------------------------------------------------------------------
