---------------------------------------------------------------------------------------
                    RDMA_Write BW Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 128
 CQ Moderation   : 100
 CQE Poll Batch  : 16
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 5
 Max inline data : 0[B]
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x1556 PSN 0xeca554 RKey 0x183100 VAddr 0x007fe5ae2ff000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:174
 remote address: LID 0000 QPN 0x1556 PSN 0xf1d631 RKey 0x183200 VAddr 0x007f710e584000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:83
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[Gb/sec]    BW average[Gb/sec]   MsgRate[Mpps]
 2          5000           0.056515            0.055363            3.460208
 4          5000             0.11               0.11   		     3.503020
 8          5000             0.23               0.23   		     3.517164
 16         5000             0.45               0.45   		     3.517263
 32         5000             0.90               0.90   		     3.519317
 64         5000             1.81               1.79   		     3.502013
 128        5000             3.60               3.58   		     3.496968
 256        5000             7.23               7.19   		     3.511902
 512        5000             14.47              14.39  		     3.513531
 1024       5000             28.85              28.76  		     3.510447
 2048       5000             57.69              50.91  		     3.107269
 4096       5000             109.07             95.88  		     2.925944
 8192       5000             180.93             162.96 		     2.486511
 16384      5000             166.43             154.62 		     1.179682
 32768      5000             218.70             142.53 		     0.543715
 65536      5000             174.27             80.70  		     0.153916
 131072     5000             182.65             182.53 		     0.174078
 262144     5000             192.45             192.45 		     0.091766
 524288     5000             200.48             193.94 		     0.046240
 1048576    5000             212.92             212.92 		     0.025382
 2097152    5000             224.94             224.94 		     0.013407
 4194304    5000             225.74             225.72 		     0.006727
 8388608    5000             225.05             225.05 		     0.003354
---------------------------------------------------------------------------------------
