---------------------------------------------------------------------------------------
                    RDMA_Write BW Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 2		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 128
 CQ Moderation   : 100
 CQE Poll Batch  : 16
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 5
 Max inline data : 0[B]
 rdma_cm QPs	 : OFF
 Data ex. method : Ethernet
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x1557 PSN 0x3b57ab RKey 0x182e00 VAddr 0x007f1ebe8a5000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:174
 local address: LID 0000 QPN 0x1558 PSN 0xe9d2f0 RKey 0x182e00 VAddr 0x007f1ebf0a5000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:174
 remote address: LID 0000 QPN 0x1557 PSN 0xd1b678 RKey 0x183200 VAddr 0x007f7a9b7f2000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:83
 remote address: LID 0000 QPN 0x1558 PSN 0x185e39 RKey 0x183200 VAddr 0x007f7a9bff2000
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:83
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[Gb/sec]    BW average[Gb/sec]   MsgRate[Mpps]
 2          10000           0.056338            0.056215            3.513469
 4          10000            0.11               0.11   		     3.552637
 8          10000            0.23               0.23   		     3.553686
 16         10000            0.46               0.45   		     3.550329
 32         10000            0.90               0.90   		     3.525148
 64         10000            1.83               1.82   		     3.552789
 128        10000            3.65               3.63   		     3.549511
 256        10000            7.27               7.25   		     3.539748
 512        10000            14.47              14.43  		     3.522913
 1024       10000            28.98              27.59  		     3.368467
 2048       10000            58.33              54.69  		     3.338007
 4096       10000            108.74             102.44 		     3.126300
 8192       10000            144.00             138.45 		     2.112651
 16384      10000            227.20             185.39 		     1.414439
 32768      10000            182.16             47.60  		     0.181570
 65536      10000            183.00             82.94  		     0.158197
 131072     10000            225.88             193.84 		     0.184858
 262144     10000            227.85             219.26 		     0.104553
 524288     10000            225.47             222.76 		     0.053109
 1048576    10000            227.77             226.80 		     0.027037
 2097152    10000            228.95             228.13 		     0.013598
 4194304    10000            227.56             227.56 		     0.006782
 8388608    10000            227.78             227.78 		     0.003394
---------------------------------------------------------------------------------------
