---------------------------------------------------------------------------------------
                    RDMA_Read BW Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 128
 CQ Moderation   : 100
 CQE Poll Batch  : 16
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 3
 Outstand reads  : 16
 rdma_cm QPs	 : ON
 Data ex. method : rdma_cm 	TOS    : 41
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x016e PSN 0xc9934b
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:83
 remote address: LID 0000 QPN 0x016e PSN 0xf2a753
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:174
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[Gb/sec]    BW average[Gb/sec]   MsgRate[Mpps]
 2          1000           0.058158            0.056507            3.531694
 4          1000             0.12               0.12   		     3.642456
 8          1000             0.23               0.23   		     3.641790
 16         1000             0.45               0.42   		     3.313892
 32         1000             0.93               0.93   		     3.632794
 64         1000             1.86               1.85   		     3.619516
 128        1000             3.73               3.71   		     3.625816
 256        1000             7.47               7.43   		     3.630162
 512        1000             14.42              13.88  		     3.388223
 1024       1000             29.49              29.35  		     3.583071
 2048       1000             58.98              54.77  		     3.342693
 4096       1000             114.48             114.21 		     3.485535
 8192       1000             158.55             158.43 		     2.417387
 16384      1000             195.05             195.01 		     1.487830
 32768      1000             207.17             207.17 		     0.790283
 65536      1000             220.12             220.11 		     0.419828
 131072     1000             225.99             225.97 		     0.215505
 262144     1000             226.14             226.14 		     0.107830
 524288     1000             226.20             226.20 		     0.053931
 1048576    1000             226.24             226.24 		     0.026970
 2097152    1000             226.26             226.26 		     0.013486
 4194304    1000             226.11             226.10 		     0.006738
 8388608    1000             226.13             226.13 		     0.003370
---------------------------------------------------------------------------------------
