---------------------------------------------------------------------------------------
                    RDMA_Read BW Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 2		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 128
 CQ Moderation   : 100
 CQE Poll Batch  : 16
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 3
 Outstand reads  : 16
 rdma_cm QPs	 : ON
 Data ex. method : rdma_cm 	TOS    : 41
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x0170 PSN 0x6eb987
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:83
 local address: LID 0000 QPN 0x0171 PSN 0x86259c
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:83
 remote address: LID 0000 QPN 0x0170 PSN 0x7c29bf
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:174
 remote address: LID 0000 QPN 0x0171 PSN 0xb13d74
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:174
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[Gb/sec]    BW average[Gb/sec]   MsgRate[Mpps]
 2          2000           0.057692            0.057507            3.594215
 4          2000             0.12               0.11   		     3.520879
 8          2000             0.23               0.22   		     3.508772
 16         2000             0.46               0.45   		     3.503671
 32         2000             0.91               0.90   		     3.510127
 64         2000             1.88               1.88   		     3.665639
 128        2000             3.75               3.74   		     3.654104
 256        2000             7.50               7.49   		     3.658314
 512        2000             15.01              14.96  		     3.652968
 1024       2000             29.87              28.86  		     3.522863
 2048       2000             58.98              57.36  		     3.501033
 4096       2000             117.40             116.60 		     3.558277
 8192       2000             188.80             188.46 		     2.875671
 16384      2000             215.74             215.59 		     1.644805
 32768      2000             219.67             219.66 		     0.837932
 65536      2000             229.01             229.01 		     0.436803
 131072     2000             229.33             229.32 		     0.218697
 262144     2000             229.44             229.44 		     0.109403
 524288     2000             229.49             229.49 		     0.054714
 1048576    2000             229.59             229.59 		     0.027369
 2097152    2000             229.62             229.62 		     0.013686
 4194304    2000             229.52             228.90 		     0.006822
 8388608    2000             229.58             228.70 		     0.003408
---------------------------------------------------------------------------------------
