---------------------------------------------------------------------------------------
                    RDMA_Read BW Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 2		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 128
 CQ Moderation   : 100
 CQE Poll Batch  : 16
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 3
 Outstand reads  : 16
 rdma_cm QPs	 : ON
 Data ex. method : rdma_cm 	TOS    : 41
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x01fa PSN 0x40283f
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:174
 local address: LID 0000 QPN 0x01fb PSN 0xcb99f4
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:174
 remote address: LID 0000 QPN 0x01fa PSN 0x9ed9b7
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:83
 remote address: LID 0000 QPN 0x01fb PSN 0x2efa0c
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:83
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[Gb/sec]    BW average[Gb/sec]   MsgRate[Mpps]
 2          2000           0.061017            0.060809            3.800547
 4          2000             0.12               0.12   		     3.727866
 8          2000             0.25               0.24   		     3.824531
 16         2000             0.49               0.48   		     3.753754
 32         2000             0.98               0.98   		     3.825847
 64         2000             1.94               1.91   		     3.728907
 128        2000             3.86               3.85   		     3.757154
 256        2000             7.80               7.63   		     3.725021
 512        2000             15.65              15.59  		     3.806843
 1024       2000             31.19              30.55  		     3.729256
 2048       2000             61.85              61.71  		     3.766724
 4096       2000             123.29             119.97 		     3.661195
 8192       2000             189.05             188.87 		     2.881887
 16384      2000             215.26             215.14 		     1.641403
 32768      2000             220.74             220.72 		     0.841981
 65536      2000             229.06             229.03 		     0.436835
 131072     2000             229.35             229.34 		     0.218716
 262144     2000             229.36             229.35 		     0.109364
 524288     2000             229.45             229.37 		     0.054686
 1048576    2000             229.58             229.58 		     0.027368
 2097152    2000             229.11             228.49 		     0.013619
 4194304    2000             228.43             228.41 		     0.006807
 8388608    2000             228.92             228.41 		     0.003404
---------------------------------------------------------------------------------------
