---------------------------------------------------------------------------------------
                    RDMA_Write BW Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 128
 CQ Moderation   : 100
 CQE Poll Batch  : 16
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 3
 Max inline data : 0[B]
 rdma_cm QPs	 : ON
 Data ex. method : rdma_cm 	TOS    : 41
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x0128 PSN 0xf6effe
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:83
 remote address: LID 0000 QPN 0x0128 PSN 0x2a2db6
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:174
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[Gb/sec]    BW average[Gb/sec]   MsgRate[Mpps]
 2          5000           0.057234            0.056891            3.555682
 4          5000             0.12               0.11   		     3.552398
 8          5000             0.23               0.23   		     3.578739
 16         5000             0.46               0.45   		     3.540976
 32         5000             0.93               0.91   		     3.561381
 64         5000             1.85               1.82   		     3.554469
 128        5000             3.66               3.62   		     3.535218
 256        5000             7.38               7.27   		     3.548641
 512        5000             14.70              14.40  		     3.514889
 1024       5000             29.35              29.00  		     3.540374
 2048       5000             58.24              57.61  		     3.516224
 4096       5000             119.49             117.24 		     3.577766
 8192       5000             184.78             184.72 		     2.818560
 16384      5000             211.86             211.75 		     1.615488
 32768      5000             220.58             220.55 		     0.841319
 65536      5000             223.88             223.87 		     0.427005
 131072     5000             225.30             225.29 		     0.214851
 262144     5000             225.94             225.94 		     0.107735
 524288     5000             226.05             226.04 		     0.053893
 1048576    5000             226.25             226.24 		     0.026970
 2097152    5000             226.27             226.27 		     0.013487
 4194304    5000             226.23             226.22 		     0.006742
 8388608    5000             226.25             226.24 		     0.003371
---------------------------------------------------------------------------------------
