---------------------------------------------------------------------------------------
                    RDMA_Write BW Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 128
 CQ Moderation   : 100
 CQE Poll Batch  : 16
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 3
 Max inline data : 0[B]
 rdma_cm QPs	 : ON
 Data ex. method : rdma_cm 	TOS    : 41
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x01b3 PSN 0x89bf12
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:174
 remote address: LID 0000 QPN 0x01b3 PSN 0x599b1b
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:83
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[Gb/sec]    BW average[Gb/sec]   MsgRate[Mpps]
 2          5000           0.058347            0.057698            3.606124
 4          5000             0.12               0.12   		     3.613500
 8          5000             0.23               0.23   		     3.624896
 16         5000             0.47               0.47   		     3.665632
 32         5000             0.95               0.94   		     3.658582
 64         5000             1.89               1.87   		     3.660670
 128        5000             3.75               3.72   		     3.628710
 256        5000             7.53               7.44   		     3.633774
 512        5000             14.96              14.81  		     3.615250
 1024       5000             30.17              29.85  		     3.643333
 2048       5000             59.84              59.45  		     3.628683
 4096       5000             121.26             120.51 		     3.677660
 8192       5000             185.71             185.11 		     2.824491
 16384      5000             212.32             212.21 		     1.619066
 32768      5000             220.66             220.66 		     0.841747
 65536      5000             223.93             223.89 		     0.427029
 131072     5000             225.34             225.32 		     0.214881
 262144     5000             225.96             225.95 		     0.107743
 524288     5000             226.06             226.06 		     0.053896
 1048576    5000             226.25             226.25 		     0.026971
 2097152    5000             226.27             226.26 		     0.013486
 4194304    5000             226.28             226.27 		     0.006743
 8388608    5000             226.26             226.26 		     0.003371
---------------------------------------------------------------------------------------
