---------------------------------------------------------------------------------------
                    RDMA_Write BW Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 2		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 128
 CQ Moderation   : 100
 CQE Poll Batch  : 16
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 3
 Max inline data : 0[B]
 rdma_cm QPs	 : ON
 Data ex. method : rdma_cm 	TOS    : 41
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x01b5 PSN 0x2ebf5e
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:174
 local address: LID 0000 QPN 0x01b6 PSN 0x4558f0
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:174
 remote address: LID 0000 QPN 0x01b5 PSN 0x632dbe
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:83
 remote address: LID 0000 QPN 0x01b6 PSN 0x4297d0
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:60:83
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[Gb/sec]    BW average[Gb/sec]   MsgRate[Mpps]
 2          10000           0.057143            0.056882            3.555126
 4          10000            0.12               0.12   		     3.594278
 8          10000            0.23               0.23   		     3.587753
 16         10000            0.46               0.46   		     3.584499
 32         10000            0.92               0.91   		     3.568077
 64         10000            1.85               1.84   		     3.589427
 128        10000            3.68               3.65   		     3.568319
 256        10000            7.37               7.33   		     3.578842
 512        10000            14.72              14.29  		     3.489305
 1024       10000            29.40              29.29  		     3.575745
 2048       10000            58.70              58.49  		     3.569899
 4096       10000            119.30             118.74 		     3.623727
 8192       10000            218.45             218.09 		     3.327765
 16384      10000            227.20             227.06 		     1.732301
 32768      10000            228.79             228.73 		     0.872536
 65536      10000            229.50             229.49 		     0.437714
 131072     10000            229.50             228.99 		     0.218382
 262144     10000            229.62             229.61 		     0.109486
 524288     10000            229.28             228.47 		     0.054473
 1048576    10000            229.63             229.62 		     0.027373
 2097152    10000            228.87             228.44 		     0.013616
 4194304    10000            229.18             228.47 		     0.006809
 8388608    10000            229.57             228.48 		     0.003405
---------------------------------------------------------------------------------------
