test,mtu,qp,srvnode,cltnode,gpu_serv,gpu_clt,metric,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,0,0,avg,0.055652,0.11,0.23,0.46,0.91,1.81,3.56,6.9,13.33,25.54,44.33,79.81,116.21,145.23,176.11,189.25,201.16,201.22,201.22,201.3,201.29,201.29,201.31
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,0,1,avg,0.055617,0.11,0.23,0.45,0.91,1.81,3.56,6.85,13.52,25.45,44.26,78.72,116.32,145.95,176.05,189.24,201.13,201.24,201.29,201.29,201.3,201.29,201.31
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,0,2,avg,0.05519,0.11,0.23,0.46,0.91,1.81,3.57,6.84,13.52,25.49,44.13,79.77,115.54,145.84,176.01,189.37,201.16,201.11,201.28,201.28,201.29,201.29,201.3
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,0,3,avg,0.053988,0.11,0.22,0.45,0.9,1.75,3.55,6.93,13.38,25.1,43.89,79.38,116.27,145.45,175.96,189.3,201.17,201.23,201.22,201.3,201.28,201.3,201.3
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,1,0,avg,0.058658,0.12,0.24,0.48,0.96,1.89,3.67,7.26,14.13,26.7,45.72,79.64,117.22,146.82,173.67,185.34,195.6,195.85,195.87,195.86,195.88,195.87,195.87
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,1,1,avg,0.058795,0.12,0.24,0.48,0.94,1.89,3.76,7.28,14.14,26.46,45.51,79.42,117.17,146.68,173.58,185.31,195.72,195.86,195.87,195.88,195.87,195.86,195.87
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,1,2,avg,0.058373,0.12,0.24,0.48,0.93,1.89,3.76,7.28,14.13,26.41,45.6,79.25,117.01,146.43,173.67,185.31,195.69,195.83,195.86,195.87,195.87,195.86,195.87
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,1,3,avg,0.058565,0.12,0.24,0.48,0.94,1.89,3.76,7.24,13.9,26.68,45.7,79.86,117.19,146.36,173.66,185.29,195.71,195.86,195.88,195.87,195.87,195.87,195.87
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,2,0,avg,0.053206,0.11,0.22,0.44,0.87,1.73,3.36,6.64,12.92,24.49,43.4,78.85,111.7,139.14,167.69,179.75,190.44,190.5,190.59,190.57,190.58,190.59,190.59
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,2,1,avg,0.053417,0.11,0.22,0.44,0.87,1.73,3.41,6.63,12.93,24.43,43.54,79.76,111.51,138.08,167.62,179.56,190.36,190.45,190.51,190.51,190.51,190.52,190.51
