test,mtu,qp,srvnode,cltnode,gpu_serv,gpu_clt,metric,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,0,0,avg,0.053927,0.11,0.22,0.45,0.87,1.78,3.52,6.84,13.43,25.23,44.06,79.28,115.41,145.74,175.97,189.23,201.13,201.21,201.25,201.3,201.31,201.3,201.31
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,0,1,avg,0.054697,0.11,0.23,0.44,0.9,1.78,3.51,6.9,13.38,25.3,44.08,78.31,116.01,145.96,176.03,189.13,201.08,201.24,201.3,201.29,201.3,201.31,201.32
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,0,2,avg,0.05454,0.11,0.22,0.45,0.9,1.75,3.56,6.93,13.38,25.44,44.1,79.74,115.44,145.7,176.06,189.29,201.16,201.2,201.28,201.29,201.3,201.29,201.31
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,0,3,avg,0.05492,0.11,0.22,0.45,0.85,1.79,3.56,6.92,13.37,25.02,44.22,78.4,116.13,145.78,175.95,189.22,201.14,201.03,201.26,201.29,201.31,201.31,201.31
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,1,0,avg,0.056123,0.11,0.23,0.46,0.89,1.84,3.66,7.02,13.93,26.26,45.47,78.81,117.1,147.13,173.45,185.31,195.74,195.83,195.85,195.87,195.87,195.86,195.87
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,1,1,avg,0.057141,0.12,0.23,0.47,0.94,1.82,3.73,7.2,13.73,26.45,45.45,79.22,116.27,146.58,173.47,185.27,195.79,195.83,195.88,195.86,195.87,195.87,195.87
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,1,2,avg,0.055897,0.12,0.23,0.47,0.9,1.85,3.7,7.1,13.92,26.45,45.37,79.71,116.37,147.14,173.45,185.34,195.7,195.83,195.91,195.87,195.87,195.87,195.87
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,1,3,avg,0.054559,0.11,0.23,0.44,0.91,1.83,3.59,7.19,13.87,26.44,45.45,79.02,117.12,146.5,173.42,185.38,195.75,195.87,195.85,195.87,195.87,195.86,195.88
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,2,0,avg,0.053229,0.11,0.22,0.43,0.85,1.72,3.38,6.57,12.89,24.37,44.08,79.33,111.38,138.76,167.51,179.67,190.45,190.54,190.57,190.59,190.58,190.58,190.59
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,2,1,avg,0.05277,0.11,0.22,0.43,0.87,1.72,3.4,6.66,12.66,24.35,44.09,78.77,111.44,138.79,167.55,179.71,190.43,190.54,190.59,190.52,190.58,190.59,190.58
