test,mtu,qp,srvnode,cltnode,gpu_serv,gpu_clt,metric,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,0,0,avg,0.055289,0.11,0.22,0.45,0.86,1.78,3.26,6.82,12.79,25.03,42.29,79.83,114.9,145.94,173.49,186.18,197.68,197.57,197.86,197.79,197.82,197.82,197.82
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,0,1,avg,0.055239,0.11,0.23,0.45,0.85,1.78,3.34,6.79,13.21,25.05,43.3,78.9,114.38,146.04,173.56,186.17,197.65,197.76,197.85,197.78,197.82,197.81,197.82
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,0,2,avg,0.055152,0.11,0.21,0.45,0.86,1.77,3.47,6.76,13.18,24.14,40.73,41.95,42.11,42.23,18.65,41.25,56.31,66.72,74.25,79.77,81.89,83.33,83.98
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,0,3,avg,0.055239,0.11,0.22,0.42,0.9,1.77,3.3,6.77,12.18,24.71,40.64,42.0,42.03,42.26,19.01,41.93,55.45,66.85,74.66,79.57,81.93,83.49,84.04
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,1,0,avg,0.058434,0.12,0.22,0.48,0.9,1.8,3.74,7.2,13.92,26.47,45.32,78.64,117.07,148.0,173.74,185.21,195.7,195.82,195.88,195.88,195.89,195.89,195.9
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,1,1,avg,0.058587,0.12,0.23,0.48,0.95,1.86,3.74,7.21,14.05,26.36,44.53,76.79,117.23,148.09,173.73,185.21,195.75,195.79,195.87,195.9,195.9,195.9,195.9
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,1,2,avg,0.053798,0.11,0.21,0.46,0.85,1.82,3.38,7.18,13.07,26.38,40.81,41.86,42.16,42.14,19.16,41.11,55.17,66.26,75.0,79.44,81.98,83.29,84.01
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,1,3,avg,0.057993,0.12,0.24,0.47,0.95,1.86,3.58,7.19,14.04,26.44,41.3,41.87,42.15,42.25,19.06,40.98,55.23,67.37,75.29,79.4,81.93,82.96,84.04
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,2,0,avg,0.047652,0.093485,0.2,0.39,0.75,1.54,2.86,5.97,12.89,21.94,31.19,40.45,46.48,50.11,55.39,72.53,86.1,97.12,102.63,105.85,107.61,108.2,108.69
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,2,1,avg,0.047939,0.097755,0.2,0.38,0.78,1.49,2.95,5.88,13.16,21.98,31.13,40.48,46.49,49.99,52.35,71.81,89.38,98.07,102.86,105.95,107.65,108.21,108.7
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,2,2,avg,0.048165,0.094739,0.2,0.38,0.78,1.46,2.95,5.94,13.66,22.06,30.73,40.36,41.96,42.01,19.07,41.09,55.42,67.13,74.27,79.69,82.0,83.5,84.01
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,2,3,avg,0.047873,0.097511,0.18,0.39,0.76,1.54,2.91,5.93,13.69,21.62,31.6,40.34,41.97,42.08,19.02,40.76,55.69,67.27,74.5,79.36,82.02,83.35,84.0
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,3,0,avg,0.047871,0.097653,0.19,0.38,0.78,1.53,2.84,5.9,13.25,21.96,31.17,40.15,46.5,50.03,56.38,73.64,86.54,97.34,102.61,105.81,107.32,108.31,108.71
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,3,1,avg,0.047838,0.097505,0.19,0.39,0.78,1.48,2.95,5.72,13.74,22.11,31.19,40.5,46.58,49.99,55.59,72.88,86.52,97.4,102.59,104.05,105.77,108.13,108.65
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,3,2,avg,0.04767,0.09311,0.19,0.39,0.78,1.53,2.88,5.88,13.01,21.9,31.11,40.31,41.94,42.01,18.95,42.04,55.6,66.46,74.6,79.34,82.07,83.42,83.96
ib_read_bw,9000,1,mocr4pcc04u15,mocr4pcc04u16,3,3,avg,0.04794,0.097427,0.19,0.39,0.78,1.45,2.95,5.71,13.64,21.57,31.57,40.33,42.0,42.05,18.98,40.22,56.46,64.66,75.68,80.02,82.37,83.53,84.13
ib_read_bw,9000,2,mocr4pcc04u15,mocr4pcc04u16,0,0,avg,0.060297,0.12,0.25,0.49,0.95,1.87,3.69,7.51,15.28,31.36,59.71,124.26,142.2,168.88,188.35,205.25,205.48,205.48,205.73,205.73,203.5,205.63,205.77
