test,mtu,qp,srvnode,cltnode,gpu_serv,gpu_clt,metric,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608
ib_write_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,2,2,avg,0.056254,0.11,0.23,0.46,0.92,1.83,3.66,7.33,14.5,29.35,58.42,27.16,63.82,196.5,185.34,197.75,197.91,198.0,196.82,197.16,188.68,163.51,163.58
ib_write_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,2,2,peak,0.056515,0.12,0.23,0.46,0.92,1.83,3.67,7.36,14.56,29.44,58.7,116.1,194.53,196.61,195.56,197.76,197.93,198.0,196.82,197.16,188.68,163.51,163.58
ib_write_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,1,3,avg,0.081371,0.17,0.34,0.67,1.35,2.7,5.37,10.75,21.19,42.93,85.62,172.54,196.27,196.75,197.04,197.25,197.27,197.33,197.36,197.33,188.04,163.17,163.17
ib_write_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,1,3,peak,0.082192,0.17,0.34,0.68,1.35,2.7,5.4,10.79,21.43,42.97,85.73,172.67,196.35,196.87,197.07,197.27,197.27,197.33,197.36,197.34,188.04,163.17,163.17
ib_read_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,2,2,avg,0.056371,0.11,0.23,0.46,0.91,1.82,3.63,7.29,14.6,28.91,57.97,65.5,185.91,149.86,195.97,177.9,197.47,192.61,195.3,198.06,185.06,163.53,163.69
ib_read_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,2,2,peak,0.056604,0.11,0.23,0.46,0.92,1.84,3.67,7.33,14.68,29.12,58.15,65.54,186.18,184.32,196.02,191.41,197.48,192.62,195.3,198.06,185.06,163.53,163.69
ib_write_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,3,2,avg,0.08061,0.17,0.34,0.67,1.34,2.68,5.34,10.7,21.4,42.01,85.12,171.13,197.07,197.58,197.89,198.03,198.11,198.18,198.15,198.16,188.67,163.79,163.8
ib_write_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,3,2,peak,0.081633,0.17,0.34,0.67,1.34,2.69,5.36,10.74,21.48,42.28,85.33,171.46,197.13,197.66,197.93,198.03,198.13,198.19,198.16,198.16,188.68,163.8,163.8
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,2,3,avg,0.081745,0.17,0.33,0.66,1.32,2.66,5.28,10.54,21.1,42.36,82.43,167.23,196.54,197.59,197.85,197.68,197.88,197.9,197.93,197.94,184.56,163.57,163.62
ib_read_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,2,3,peak,0.082005,0.17,0.33,0.66,1.33,2.67,5.28,10.59,21.24,42.47,83.4,167.56,196.61,197.66,197.86,197.7,197.89,197.9,197.93,197.94,184.56,163.57,163.62
ib_read_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,0,1,avg,0.059998,0.12,0.24,0.49,0.96,1.93,3.84,7.68,15.59,31.2,63.54,128.37,186.39,208.94,207.14,209.38,207.92,208.69,209.13,209.36,193.82,170.95,170.96
ib_read_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,0,1,peak,0.0601,0.12,0.24,0.49,0.97,1.95,3.85,7.71,15.75,31.45,63.89,129.8,186.42,209.01,207.17,209.38,207.92,208.69,209.13,209.36,194.26,170.95,170.96
ib_read_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,3,1,avg,0.057818,0.12,0.23,0.46,0.93,1.86,3.75,7.48,14.99,30.09,60.6,81.53,102.89,136.25,160.49,177.19,186.5,191.71,194.53,196.53,185.28,162.96,163.11
ib_read_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,3,1,peak,0.058065,0.12,0.23,0.46,0.93,1.86,3.76,7.49,15.06,30.22,60.83,95.75,174.71,186.06,188.86,190.51,190.81,191.72,194.54,196.53,185.28,162.96,163.11
ib_write_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,0,1,avg,0.085997,0.18,0.36,0.71,1.43,2.86,5.71,11.4,23.05,46.14,98.13,198.62,200.9,201.98,202.55,202.82,202.97,203.05,203.09,203.11,200.11,169.87,169.79
ib_write_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,0,1,peak,0.087167,0.18,0.36,0.72,1.44,2.87,5.73,11.43,23.16,46.55,98.57,198.73,201.17,201.99,202.55,202.83,202.99,203.05,203.09,203.11,200.11,169.87,169.79
ib_write_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,1,0,avg,0.080409,0.17,0.33,0.67,1.33,2.66,5.32,10.62,21.27,41.69,84.86,171.72,208.14,208.8,209.23,209.42,209.49,209.56,209.58,209.6,198.63,170.91,170.99
ib_write_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,1,0,peak,0.081448,0.17,0.33,0.67,1.34,2.67,5.35,10.69,21.33,41.99,85.33,172.26,208.27,208.86,209.31,209.42,209.5,209.57,209.58,209.6,198.63,170.95,171.03
ib_write_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,2,3,avg,0.05769,0.12,0.24,0.47,0.94,1.89,3.72,7.53,15.07,30.18,59.86,121.03,195.69,196.49,196.87,197.11,197.22,197.29,197.32,197.32,187.58,163.15,163.14
ib_write_bw,9000,16,mocr4pcc04u15,mocr4pcc04u16,2,3,peak,0.058158,0.12,0.24,0.47,0.95,1.89,3.74,7.55,15.13,30.22,59.94,121.26,195.82,196.61,196.94,197.13,197.23,197.29,197.32,197.32,187.59,163.15,163.14
ib_write_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,1,0,avg,0.056682,0.12,0.23,0.46,0.93,1.85,3.7,7.38,14.66,29.59,58.97,118.62,68.81,207.58,208.58,208.79,209.07,209.22,209.29,209.22,196.7,170.93,170.93
ib_write_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,1,0,peak,0.057416,0.12,0.23,0.47,0.93,1.86,3.72,7.42,14.77,29.73,59.26,119.3,201.17,207.68,208.64,208.79,209.08,209.23,209.3,209.29,196.7,170.93,170.93
ib_read_bw,9000,16,mocr4pcc04u16,mocr4pcc04u15,3,2,avg,0.055471,0.11,0.23,0.45,0.9,1.81,3.61,7.25,14.45,28.88,57.35,70.07,120.25,193.18,197.02,196.17,186.27,191.71,194.51,195.93,184.37,163.06,163.12
