path,trial,server,client,protocol,role,srvip,mtu,bufsize,winsize,bitrate,par,affin,bw,units
2pod-jumbo-sriov-01-05-25-1746128308/iperf_tcp_clt_192.168.216.29_9000_1024K_0_0_32_0-127-256-383_torchrun-multipod-1_torchrun-multipod-0_0.log,0,torchrun-multipod-1,torchrun-multipod-0,tcp,clt,192.168.216.29,9000,1024K,0,0,32,0-127-256-383,166,Gbits/sec
2pod-jumbo-sriov-01-05-25-1746128308/iperf_tcp_clt_192.168.216.29_9000_1024K_0_0_32_0-127-256-383_torchrun-multipod-1_torchrun-multipod-0_1.log,1,torchrun-multipod-1,torchrun-multipod-0,tcp,clt,192.168.216.29,9000,1024K,0,0,32,0-127-256-383,205,Gbits/sec
2pod-jumbo-sriov-01-05-25-1746128308/iperf_tcp_clt_192.168.216.29_9000_1024K_0_0_32_0-127-256-383_torchrun-multipod-1_torchrun-multipod-0_2.log,2,torchrun-multipod-1,torchrun-multipod-0,tcp,clt,192.168.216.29,9000,1024K,0,0,32,0-127-256-383,186,Gbits/sec
2pod-jumbo-sriov-01-05-25-1746128308/iperf_tcp_clt_192.168.216.29_9000_1024K_0_0_32_128-255-384-511_torchrun-multipod-1_torchrun-multipod-0_0.log,0,torchrun-multipod-1,torchrun-multipod-0,tcp,clt,192.168.216.29,9000,1024K,0,0,32,128-255-384-511,170,Gbits/sec
2pod-jumbo-sriov-01-05-25-1746128308/iperf_tcp_clt_192.168.216.29_9000_1024K_0_0_32_128-255-384-511_torchrun-multipod-1_torchrun-multipod-0_1.log,1,torchrun-multipod-1,torchrun-multipod-0,tcp,clt,192.168.216.29,9000,1024K,0,0,32,128-255-384-511,160,Gbits/sec
2pod-jumbo-sriov-01-05-25-1746128308/iperf_tcp_clt_192.168.216.29_9000_1024K_0_0_32_128-255-384-511_torchrun-multipod-1_torchrun-multipod-0_2.log,2,torchrun-multipod-1,torchrun-multipod-0,tcp,clt,192.168.216.29,9000,1024K,0,0,32,128-255-384-511,156,Gbits/sec
2pod-jumbo-sriov-01-05-25-1746128308/iperf_tcp_clt_192.168.216.32_9000_1024K_0_0_32_0-127-256-383_torchrun-multipod-0_torchrun-multipod-1_0.log,0,torchrun-multipod-0,torchrun-multipod-1,tcp,clt,192.168.216.32,9000,1024K,0,0,32,0-127-256-383,203,Gbits/sec
2pod-jumbo-sriov-01-05-25-1746128308/iperf_tcp_clt_192.168.216.32_9000_1024K_0_0_32_0-127-256-383_torchrun-multipod-0_torchrun-multipod-1_1.log,1,torchrun-multipod-0,torchrun-multipod-1,tcp,clt,192.168.216.32,9000,1024K,0,0,32,0-127-256-383,206,Gbits/sec
2pod-jumbo-sriov-01-05-25-1746128308/iperf_tcp_clt_192.168.216.32_9000_1024K_0_0_32_0-127-256-383_torchrun-multipod-0_torchrun-multipod-1_2.log,2,torchrun-multipod-0,torchrun-multipod-1,tcp,clt,192.168.216.32,9000,1024K,0,0,32,0-127-256-383,218,Gbits/sec
2pod-jumbo-sriov-01-05-25-1746128308/iperf_tcp_clt_192.168.216.32_9000_1024K_0_0_32_128-255-384-511_torchrun-multipod-0_torchrun-multipod-1_0.log,0,torchrun-multipod-0,torchrun-multipod-1,tcp,clt,192.168.216.32,9000,1024K,0,0,32,128-255-384-511,145,Gbits/sec
2pod-jumbo-sriov-01-05-25-1746128308/iperf_tcp_clt_192.168.216.32_9000_1024K_0_0_32_128-255-384-511_torchrun-multipod-0_torchrun-multipod-1_1.log,1,torchrun-multipod-0,torchrun-multipod-1,tcp,clt,192.168.216.32,9000,1024K,0,0,32,128-255-384-511,163,Gbits/sec
2pod-jumbo-sriov-01-05-25-1746128308/iperf_tcp_clt_192.168.216.32_9000_1024K_0_0_32_128-255-384-511_torchrun-multipod-0_torchrun-multipod-1_2.log,2,torchrun-multipod-0,torchrun-multipod-1,tcp,clt,192.168.216.32,9000,1024K,0,0,32,128-255-384-511,175,Gbits/sec
2pod-jumbo-sriov-01-05-25-1746128308/iperf_tcp_srv_192.168.216.29_9000_1024K_0_0_32_0-127-256-383_torchrun-multipod-1_torchrun-multipod-0_0.log,0,torchrun-multipod-1,torchrun-multipod-0,tcp,srv,192.168.216.29,9000,1024K,0,0,32,0-127-256-383,166,Gbits/sec
2pod-jumbo-sriov-01-05-25-1746128308/iperf_tcp_srv_192.168.216.29_9000_1024K_0_0_32_0-127-256-383_torchrun-multipod-1_torchrun-multipod-0_1.log,1,torchrun-multipod-1,torchrun-multipod-0,tcp,srv,192.168.216.29,9000,1024K,0,0,32,0-127-256-383,205,Gbits/sec
2pod-jumbo-sriov-01-05-25-1746128308/iperf_tcp_srv_192.168.216.29_9000_1024K_0_0_32_0-127-256-383_torchrun-multipod-1_torchrun-multipod-0_2.log,2,torchrun-multipod-1,torchrun-multipod-0,tcp,srv,192.168.216.29,9000,1024K,0,0,32,0-127-256-383,186,Gbits/sec
2pod-jumbo-sriov-01-05-25-1746128308/iperf_tcp_srv_192.168.216.29_9000_1024K_0_0_32_128-255-384-511_torchrun-multipod-1_torchrun-multipod-0_0.log,0,torchrun-multipod-1,torchrun-multipod-0,tcp,srv,192.168.216.29,9000,1024K,0,0,32,128-255-384-511,170,Gbits/sec
2pod-jumbo-sriov-01-05-25-1746128308/iperf_tcp_srv_192.168.216.29_9000_1024K_0_0_32_128-255-384-511_torchrun-multipod-1_torchrun-multipod-0_1.log,1,torchrun-multipod-1,torchrun-multipod-0,tcp,srv,192.168.216.29,9000,1024K,0,0,32,128-255-384-511,160,Gbits/sec
