path,trial,server,client,protocol,role,srvip,mtu,bufsize,winsize,bitrate,par,affin,bw,units
2pod-jumbo-sriov-max128K-01-05-25-1746133667/iperf_tcp_clt_192.168.216.29_9000_128K_0_0_16_0-127-256-383_torchrun-multipod-1_torchrun-multipod-0_0.log,0,torchrun-multipod-1,torchrun-multipod-0,tcp,clt,192.168.216.29,9000,128K,0,0,16,0-127-256-383,173,Gbits/sec
2pod-jumbo-sriov-max128K-01-05-25-1746133667/iperf_tcp_clt_192.168.216.29_9000_128K_0_0_16_0-127-256-383_torchrun-multipod-1_torchrun-multipod-0_1.log,1,torchrun-multipod-1,torchrun-multipod-0,tcp,clt,192.168.216.29,9000,128K,0,0,16,0-127-256-383,150,Gbits/sec
2pod-jumbo-sriov-max128K-01-05-25-1746133667/iperf_tcp_clt_192.168.216.29_9000_128K_0_0_16_0-127-256-383_torchrun-multipod-1_torchrun-multipod-0_2.log,2,torchrun-multipod-1,torchrun-multipod-0,tcp,clt,192.168.216.29,9000,128K,0,0,16,0-127-256-383,180,Gbits/sec
2pod-jumbo-sriov-max128K-01-05-25-1746133667/iperf_tcp_clt_192.168.216.29_9000_128K_0_0_32_0-127-256-383_torchrun-multipod-1_torchrun-multipod-0_0.log,0,torchrun-multipod-1,torchrun-multipod-0,tcp,clt,192.168.216.29,9000,128K,0,0,32,0-127-256-383,180,Gbits/sec
2pod-jumbo-sriov-max128K-01-05-25-1746133667/iperf_tcp_clt_192.168.216.29_9000_128K_0_0_32_0-127-256-383_torchrun-multipod-1_torchrun-multipod-0_1.log,1,torchrun-multipod-1,torchrun-multipod-0,tcp,clt,192.168.216.29,9000,128K,0,0,32,0-127-256-383,189,Gbits/sec
2pod-jumbo-sriov-max128K-01-05-25-1746133667/iperf_tcp_clt_192.168.216.29_9000_128K_0_0_32_0-127-256-383_torchrun-multipod-1_torchrun-multipod-0_2.log,2,torchrun-multipod-1,torchrun-multipod-0,tcp,clt,192.168.216.29,9000,128K,0,0,32,0-127-256-383,192,Gbits/sec
2pod-jumbo-sriov-max128K-01-05-25-1746133667/iperf_tcp_clt_192.168.216.29_9000_128K_0_0_64_0-127-256-383_torchrun-multipod-1_torchrun-multipod-0_0.log,0,torchrun-multipod-1,torchrun-multipod-0,tcp,clt,192.168.216.29,9000,128K,0,0,64,0-127-256-383,185,Gbits/sec
2pod-jumbo-sriov-max128K-01-05-25-1746133667/iperf_tcp_clt_192.168.216.29_9000_128K_0_0_64_0-127-256-383_torchrun-multipod-1_torchrun-multipod-0_1.log,1,torchrun-multipod-1,torchrun-multipod-0,tcp,clt,192.168.216.29,9000,128K,0,0,64,0-127-256-383,187,Gbits/sec
2pod-jumbo-sriov-max128K-01-05-25-1746133667/iperf_tcp_clt_192.168.216.29_9000_128K_0_0_64_0-127-256-383_torchrun-multipod-1_torchrun-multipod-0_2.log,2,torchrun-multipod-1,torchrun-multipod-0,tcp,clt,192.168.216.29,9000,128K,0,0,64,0-127-256-383,188,Gbits/sec
2pod-jumbo-sriov-max128K-01-05-25-1746133667/iperf_tcp_clt_192.168.216.29_9000_128K_128K_0_16_0-127-256-383_torchrun-multipod-1_torchrun-multipod-0_0.log,0,torchrun-multipod-1,torchrun-multipod-0,tcp,clt,192.168.216.29,9000,128K,128K,0,16,0-127-256-383,63.4,Gbits/sec
2pod-jumbo-sriov-max128K-01-05-25-1746133667/iperf_tcp_clt_192.168.216.29_9000_128K_128K_0_16_0-127-256-383_torchrun-multipod-1_torchrun-multipod-0_1.log,1,torchrun-multipod-1,torchrun-multipod-0,tcp,clt,192.168.216.29,9000,128K,128K,0,16,0-127-256-383,59.7,Gbits/sec
2pod-jumbo-sriov-max128K-01-05-25-1746133667/iperf_tcp_clt_192.168.216.29_9000_128K_128K_0_16_0-127-256-383_torchrun-multipod-1_torchrun-multipod-0_2.log,2,torchrun-multipod-1,torchrun-multipod-0,tcp,clt,192.168.216.29,9000,128K,128K,0,16,0-127-256-383,59.5,Gbits/sec
2pod-jumbo-sriov-max128K-01-05-25-1746133667/iperf_tcp_clt_192.168.216.29_9000_128K_128K_0_32_0-127-256-383_torchrun-multipod-1_torchrun-multipod-0_0.log,0,torchrun-multipod-1,torchrun-multipod-0,tcp,clt,192.168.216.29,9000,128K,128K,0,32,0-127-256-383,80.8,Gbits/sec
2pod-jumbo-sriov-max128K-01-05-25-1746133667/iperf_tcp_clt_192.168.216.29_9000_128K_128K_0_32_0-127-256-383_torchrun-multipod-1_torchrun-multipod-0_1.log,1,torchrun-multipod-1,torchrun-multipod-0,tcp,clt,192.168.216.29,9000,128K,128K,0,32,0-127-256-383,84.2,Gbits/sec
2pod-jumbo-sriov-max128K-01-05-25-1746133667/iperf_tcp_clt_192.168.216.29_9000_128K_128K_0_32_0-127-256-383_torchrun-multipod-1_torchrun-multipod-0_2.log,2,torchrun-multipod-1,torchrun-multipod-0,tcp,clt,192.168.216.29,9000,128K,128K,0,32,0-127-256-383,82.5,Gbits/sec
2pod-jumbo-sriov-max128K-01-05-25-1746133667/iperf_tcp_clt_192.168.216.29_9000_128K_128K_0_64_0-127-256-383_torchrun-multipod-1_torchrun-multipod-0_0.log,0,torchrun-multipod-1,torchrun-multipod-0,tcp,clt,192.168.216.29,9000,128K,128K,0,64,0-127-256-383,98.1,Gbits/sec
2pod-jumbo-sriov-max128K-01-05-25-1746133667/iperf_tcp_clt_192.168.216.29_9000_128K_128K_0_64_0-127-256-383_torchrun-multipod-1_torchrun-multipod-0_1.log,1,torchrun-multipod-1,torchrun-multipod-0,tcp,clt,192.168.216.29,9000,128K,128K,0,64,0-127-256-383,98.8,Gbits/sec
2pod-jumbo-sriov-max128K-01-05-25-1746133667/iperf_tcp_clt_192.168.216.29_9000_128K_128K_0_64_0-127-256-383_torchrun-multipod-1_torchrun-multipod-0_2.log,2,torchrun-multipod-1,torchrun-multipod-0,tcp,clt,192.168.216.29,9000,128K,128K,0,64,0-127-256-383,102,Gbits/sec
