path,server,client,protocol,role,mtu,bufsize,winsize,bitrate,par,affin,bw,units
6node-connstudy-28-04-25-1745860889/iperf_tcp_clt_1500_128K_128K_0_128_eno7np0_mocr4pcc02u24-debug-fl58d_mocr4pcc02u25-debug-7xd6x.log,mocr4pcc02u24-debug-fl58d,mocr4pcc02u25-debug-7xd6x,tcp,clt,1500,128K,128K,0,128,eno7np0,200,Gbits/sec
6node-connstudy-28-04-25-1745860889/iperf_tcp_clt_1500_128K_128K_0_128_eno7np0_mocr4pcc02u24-debug-fl58d_mocr4pcc02u29-debug-7m29c.log,mocr4pcc02u24-debug-fl58d,mocr4pcc02u29-debug-7m29c,tcp,clt,1500,128K,128K,0,128,eno7np0,194,Gbits/sec
6node-connstudy-28-04-25-1745860889/iperf_tcp_clt_1500_128K_128K_0_128_eno7np0_mocr4pcc02u24-debug-fl58d_mocr4pcc02u30-debug-b4xvd.log,mocr4pcc02u24-debug-fl58d,mocr4pcc02u30-debug-b4xvd,tcp,clt,1500,128K,128K,0,128,eno7np0,200,Gbits/sec
6node-connstudy-28-04-25-1745860889/iperf_tcp_clt_1500_128K_128K_0_128_eno7np0_mocr4pcc02u24-debug-fl58d_mocr4pcc02u31-debug-n8vg2.log,mocr4pcc02u24-debug-fl58d,mocr4pcc02u31-debug-n8vg2,tcp,clt,1500,128K,128K,0,128,eno7np0,199,Gbits/sec
6node-connstudy-28-04-25-1745860889/iperf_tcp_clt_1500_128K_128K_0_128_eno7np0_mocr4pcc02u24-debug-fl58d_mocr4pcc02u32-debug-g7w55.log,mocr4pcc02u24-debug-fl58d,mocr4pcc02u32-debug-g7w55,tcp,clt,1500,128K,128K,0,128,eno7np0,193,Gbits/sec
6node-connstudy-28-04-25-1745860889/iperf_tcp_clt_1500_128K_128K_0_128_eno7np0_mocr4pcc02u25-debug-7xd6x_mocr4pcc02u24-debug-fl58d.log,mocr4pcc02u25-debug-7xd6x,mocr4pcc02u24-debug-fl58d,tcp,clt,1500,128K,128K,0,128,eno7np0,197,Gbits/sec
6node-connstudy-28-04-25-1745860889/iperf_tcp_clt_1500_128K_128K_0_128_eno7np0_mocr4pcc02u25-debug-7xd6x_mocr4pcc02u29-debug-7m29c.log,mocr4pcc02u25-debug-7xd6x,mocr4pcc02u29-debug-7m29c,tcp,clt,1500,128K,128K,0,128,eno7np0,200,Gbits/sec
6node-connstudy-28-04-25-1745860889/iperf_tcp_clt_1500_128K_128K_0_128_eno7np0_mocr4pcc02u25-debug-7xd6x_mocr4pcc02u30-debug-b4xvd.log,mocr4pcc02u25-debug-7xd6x,mocr4pcc02u30-debug-b4xvd,tcp,clt,1500,128K,128K,0,128,eno7np0,201,Gbits/sec
6node-connstudy-28-04-25-1745860889/iperf_tcp_clt_1500_128K_128K_0_128_eno7np0_mocr4pcc02u25-debug-7xd6x_mocr4pcc02u31-debug-n8vg2.log,mocr4pcc02u25-debug-7xd6x,mocr4pcc02u31-debug-n8vg2,tcp,clt,1500,128K,128K,0,128,eno7np0,201,Gbits/sec
6node-connstudy-28-04-25-1745860889/iperf_tcp_clt_1500_128K_128K_0_128_eno7np0_mocr4pcc02u25-debug-7xd6x_mocr4pcc02u32-debug-g7w55.log,mocr4pcc02u25-debug-7xd6x,mocr4pcc02u32-debug-g7w55,tcp,clt,1500,128K,128K,0,128,eno7np0,195,Gbits/sec
