path,server,client,protocol,role,mtu,bufsize,winsize,bitrate,par,affin,bw,units
scan-conn-affinity-2pods-28-04-25-1745870594/iperf_tcp_clt_1400_128K_128K_0_1_0-127-256-383_torchrun-multipod-0_torchrun-multipod-1.log,torchrun-multipod-0,torchrun-multipod-1,tcp,clt,1400,128K,128K,0,1,0-127-256-383,3.08,Gbits/sec
scan-conn-affinity-2pods-28-04-25-1745870594/iperf_tcp_clt_1400_128K_128K_0_1_0-127-256-383_torchrun-multipod-0_torchrun-multipod-2.log,torchrun-multipod-0,torchrun-multipod-2,tcp,clt,1400,128K,128K,0,1,0-127-256-383,3.11,Gbits/sec
scan-conn-affinity-2pods-28-04-25-1745870594/iperf_tcp_clt_1400_128K_128K_0_1_0-127-256-383_torchrun-multipod-0_torchrun-multipod-3.log,torchrun-multipod-0,torchrun-multipod-3,tcp,clt,1400,128K,128K,0,1,0-127-256-383,3.05,Gbits/sec
scan-conn-affinity-2pods-28-04-25-1745870594/iperf_tcp_clt_1400_128K_128K_0_1_0-127-256-383_torchrun-multipod-0_torchrun-multipod-4.log,torchrun-multipod-0,torchrun-multipod-4,tcp,clt,1400,128K,128K,0,1,0-127-256-383,3.08,Gbits/sec
scan-conn-affinity-2pods-28-04-25-1745870594/iperf_tcp_clt_1400_128K_128K_0_1_0-127-256-383_torchrun-multipod-0_torchrun-multipod-5.log,torchrun-multipod-0,torchrun-multipod-5,tcp,clt,1400,128K,128K,0,1,0-127-256-383,3.07,Gbits/sec
scan-conn-affinity-2pods-28-04-25-1745870594/iperf_tcp_clt_1400_128K_128K_0_1_0-127-256-383_torchrun-multipod-0_torchrun-multipod-6.log,torchrun-multipod-0,torchrun-multipod-6,tcp,clt,1400,128K,128K,0,1,0-127-256-383,3.01,Gbits/sec
scan-conn-affinity-2pods-28-04-25-1745870594/iperf_tcp_clt_1400_128K_128K_0_1_0-127-256-383_torchrun-multipod-1_torchrun-multipod-0.log,torchrun-multipod-1,torchrun-multipod-0,tcp,clt,1400,128K,128K,0,1,0-127-256-383,3.02,Gbits/sec
scan-conn-affinity-2pods-28-04-25-1745870594/iperf_tcp_clt_1400_128K_128K_0_1_0-127-256-383_torchrun-multipod-1_torchrun-multipod-2.log,torchrun-multipod-1,torchrun-multipod-2,tcp,clt,1400,128K,128K,0,1,0-127-256-383,3.08,Gbits/sec
scan-conn-affinity-2pods-28-04-25-1745870594/iperf_tcp_clt_1400_128K_128K_0_1_0-127-256-383_torchrun-multipod-1_torchrun-multipod-3.log,torchrun-multipod-1,torchrun-multipod-3,tcp,clt,1400,128K,128K,0,1,0-127-256-383,3.05,Gbits/sec
scan-conn-affinity-2pods-28-04-25-1745870594/iperf_tcp_clt_1400_128K_128K_0_1_0-127-256-383_torchrun-multipod-1_torchrun-multipod-4.log,torchrun-multipod-1,torchrun-multipod-4,tcp,clt,1400,128K,128K,0,1,0-127-256-383,3.07,Gbits/sec
scan-conn-affinity-2pods-28-04-25-1745870594/iperf_tcp_clt_1400_128K_128K_0_1_0-127-256-383_torchrun-multipod-1_torchrun-multipod-5.log,torchrun-multipod-1,torchrun-multipod-5,tcp,clt,1400,128K,128K,0,1,0-127-256-383,3.09,Gbits/sec
scan-conn-affinity-2pods-28-04-25-1745870594/iperf_tcp_clt_1400_128K_128K_0_1_0-127-256-383_torchrun-multipod-1_torchrun-multipod-6.log,torchrun-multipod-1,torchrun-multipod-6,tcp,clt,1400,128K,128K,0,1,0-127-256-383,3.03,Gbits/sec
