path,server,client,protocol,role,mtu,bufsize,winsize,bitrate,par,affin,bw,units
./simple2node-affin--28-04-25-1745860454/iperf_tcp_clt_1500_128K_128K_0_128_eno5np0_mocr4pcc02u29-debug-7m29c_mocr4pcc02u30-debug-b4xvd.log,mocr4pcc02u29-debug-7m29c,mocr4pcc02u30-debug-b4xvd,tcp,clt,1500,128K,128K,0,128,eno5np0,117,Gbits/sec
./simple2node-affin--28-04-25-1745860454/iperf_tcp_clt_1500_128K_128K_0_128_eno5np0_mocr4pcc02u30-debug-b4xvd_mocr4pcc02u29-debug-7m29c.log,mocr4pcc02u30-debug-b4xvd,mocr4pcc02u29-debug-7m29c,tcp,clt,1500,128K,128K,0,128,eno5np0,97.1,Gbits/sec
./simple2node-affin--28-04-25-1745860454/iperf_tcp_clt_1500_128K_128K_0_128_eno7np0_mocr4pcc02u29-debug-7m29c_mocr4pcc02u30-debug-b4xvd.log,mocr4pcc02u29-debug-7m29c,mocr4pcc02u30-debug-b4xvd,tcp,clt,1500,128K,128K,0,128,eno7np0,200,Gbits/sec
./simple2node-affin--28-04-25-1745860454/iperf_tcp_clt_1500_128K_128K_0_128_eno7np0_mocr4pcc02u30-debug-b4xvd_mocr4pcc02u29-debug-7m29c.log,mocr4pcc02u30-debug-b4xvd,mocr4pcc02u29-debug-7m29c,tcp,clt,1500,128K,128K,0,128,eno7np0,199,Gbits/sec
./simple2node-affin--28-04-25-1745860454/iperf_tcp_srv_1500_128K_128K_0_128_eno5np0_mocr4pcc02u29-debug-7m29c_mocr4pcc02u30-debug-b4xvd.log,mocr4pcc02u29-debug-7m29c,mocr4pcc02u30-debug-b4xvd,tcp,srv,1500,128K,128K,0,128,eno5np0,117,Gbits/sec
./simple2node-affin--28-04-25-1745860454/iperf_tcp_srv_1500_128K_128K_0_128_eno5np0_mocr4pcc02u30-debug-b4xvd_mocr4pcc02u29-debug-7m29c.log,mocr4pcc02u30-debug-b4xvd,mocr4pcc02u29-debug-7m29c,tcp,srv,1500,128K,128K,0,128,eno5np0,97.1,Gbits/sec
./simple2node-affin--28-04-25-1745860454/iperf_tcp_srv_1500_128K_128K_0_128_eno7np0_mocr4pcc02u29-debug-7m29c_mocr4pcc02u30-debug-b4xvd.log,mocr4pcc02u29-debug-7m29c,mocr4pcc02u30-debug-b4xvd,tcp,srv,1500,128K,128K,0,128,eno7np0,200,Gbits/sec
./simple2node-affin--28-04-25-1745860454/iperf_tcp_srv_1500_128K_128K_0_128_eno7np0_mocr4pcc02u30-debug-b4xvd_mocr4pcc02u29-debug-7m29c.log,mocr4pcc02u30-debug-b4xvd,mocr4pcc02u29-debug-7m29c,tcp,srv,1500,128K,128K,0,128,eno7np0,199,Gbits/sec
./simple2node-affin--28-04-25-1745860454/iperf_udp_clt_1500_1460_1460_0_128_eno5np0_mocr4pcc02u29-debug-7m29c_mocr4pcc02u30-debug-b4xvd.log,mocr4pcc02u29-debug-7m29c,mocr4pcc02u30-debug-b4xvd,udp,clt,1500,1460,1460,0,128,eno5np0,43.0,Gbits/sec
./simple2node-affin--28-04-25-1745860454/iperf_udp_clt_1500_1460_1460_0_128_eno5np0_mocr4pcc02u30-debug-b4xvd_mocr4pcc02u29-debug-7m29c.log,mocr4pcc02u30-debug-b4xvd,mocr4pcc02u29-debug-7m29c,udp,clt,1500,1460,1460,0,128,eno5np0,45.5,Gbits/sec
./simple2node-affin--28-04-25-1745860454/iperf_udp_clt_1500_1460_1460_0_128_eno7np0_mocr4pcc02u29-debug-7m29c_mocr4pcc02u30-debug-b4xvd.log,mocr4pcc02u29-debug-7m29c,mocr4pcc02u30-debug-b4xvd,udp,clt,1500,1460,1460,0,128,eno7np0,38.7,Gbits/sec
./simple2node-affin--28-04-25-1745860454/iperf_udp_clt_1500_1460_1460_0_128_eno7np0_mocr4pcc02u30-debug-b4xvd_mocr4pcc02u29-debug-7m29c.log,mocr4pcc02u30-debug-b4xvd,mocr4pcc02u29-debug-7m29c,udp,clt,1500,1460,1460,0,128,eno7np0,40.3,Gbits/sec
./simple2node-affin--28-04-25-1745860454/iperf_udp_srv_1500_1460_1460_0_128_eno5np0_mocr4pcc02u29-debug-7m29c_mocr4pcc02u30-debug-b4xvd.log,mocr4pcc02u29-debug-7m29c,mocr4pcc02u30-debug-b4xvd,udp,srv,1500,1460,1460,0,128,eno5np0,32.7,Gbits/sec
./simple2node-affin--28-04-25-1745860454/iperf_udp_srv_1500_1460_1460_0_128_eno5np0_mocr4pcc02u30-debug-b4xvd_mocr4pcc02u29-debug-7m29c.log,mocr4pcc02u30-debug-b4xvd,mocr4pcc02u29-debug-7m29c,udp,srv,1500,1460,1460,0,128,eno5np0,33.8,Gbits/sec
./simple2node-affin--28-04-25-1745860454/iperf_udp_srv_1500_1460_1460_0_128_eno7np0_mocr4pcc02u29-debug-7m29c_mocr4pcc02u30-debug-b4xvd.log,mocr4pcc02u29-debug-7m29c,mocr4pcc02u30-debug-b4xvd,udp,srv,1500,1460,1460,0,128,eno7np0,33.8,Gbits/sec
./simple2node-affin--28-04-25-1745860454/iperf_udp_srv_1500_1460_1460_0_128_eno7np0_mocr4pcc02u30-debug-b4xvd_mocr4pcc02u29-debug-7m29c.log,mocr4pcc02u30-debug-b4xvd,mocr4pcc02u29-debug-7m29c,udp,srv,1500,1460,1460,0,128,eno7np0,31.7,Gbits/sec
