path,trial,server,client,protocol,role,srvip,mtu,bufsize,winsize,bitrate,par,affin,bw,units
sriov-jason-22-05-25-1747941370/iperf_tcp_clt_192.168.3.225_9000_128K_0_0_32_0-127-256-383_sriovlegacy-workload-uno_sriovlegacy-workload-dos_0.log,0,sriovlegacy-workload-uno,sriovlegacy-workload-dos,tcp,clt,192.168.3.225,9000,128K,0,0,32,0-127-256-383,202,Gbits/sec
sriov-jason-22-05-25-1747941370/iperf_tcp_clt_192.168.3.225_9000_128K_0_0_32_0-127-256-383_sriovlegacy-workload-uno_sriovlegacy-workload-dos_1.log,1,sriovlegacy-workload-uno,sriovlegacy-workload-dos,tcp,clt,192.168.3.225,9000,128K,0,0,32,0-127-256-383,213,Gbits/sec
sriov-jason-22-05-25-1747941370/iperf_tcp_clt_192.168.3.225_9000_128K_0_0_32_0-127-256-383_sriovlegacy-workload-uno_sriovlegacy-workload-dos_2.log,2,sriovlegacy-workload-uno,sriovlegacy-workload-dos,tcp,clt,192.168.3.225,9000,128K,0,0,32,0-127-256-383,174,Gbits/sec
sriov-jason-22-05-25-1747941370/iperf_tcp_clt_192.168.3.225_9000_128K_0_0_32_0-127-256-383_sriovlegacy-workload-uno_sriovlegacy-workload-dos_3.log,3,sriovlegacy-workload-uno,sriovlegacy-workload-dos,tcp,clt,192.168.3.225,9000,128K,0,0,32,0-127-256-383,202,Gbits/sec
sriov-jason-22-05-25-1747941370/iperf_tcp_clt_192.168.3.226_9000_128K_0_0_32_0-127-256-383_sriovlegacy-workload-dos_sriovlegacy-workload-uno_0.log,0,sriovlegacy-workload-dos,sriovlegacy-workload-uno,tcp,clt,192.168.3.226,9000,128K,0,0,32,0-127-256-383,215,Gbits/sec
sriov-jason-22-05-25-1747941370/iperf_tcp_clt_192.168.3.226_9000_128K_0_0_32_0-127-256-383_sriovlegacy-workload-dos_sriovlegacy-workload-uno_1.log,1,sriovlegacy-workload-dos,sriovlegacy-workload-uno,tcp,clt,192.168.3.226,9000,128K,0,0,32,0-127-256-383,206,Gbits/sec
sriov-jason-22-05-25-1747941370/iperf_tcp_clt_192.168.3.226_9000_128K_0_0_32_0-127-256-383_sriovlegacy-workload-dos_sriovlegacy-workload-uno_2.log,2,sriovlegacy-workload-dos,sriovlegacy-workload-uno,tcp,clt,192.168.3.226,9000,128K,0,0,32,0-127-256-383,207,Gbits/sec
sriov-jason-22-05-25-1747941370/iperf_tcp_clt_192.168.3.226_9000_128K_0_0_32_0-127-256-383_sriovlegacy-workload-dos_sriovlegacy-workload-uno_3.log,3,sriovlegacy-workload-dos,sriovlegacy-workload-uno,tcp,clt,192.168.3.226,9000,128K,0,0,32,0-127-256-383,208,Gbits/sec
sriov-jason-22-05-25-1747941370/iperf_tcp_srv_192.168.3.225_9000_128K_0_0_32_0-127-256-383_sriovlegacy-workload-uno_sriovlegacy-workload-dos_0.log,0,sriovlegacy-workload-uno,sriovlegacy-workload-dos,tcp,srv,192.168.3.225,9000,128K,0,0,32,0-127-256-383,202,Gbits/sec
sriov-jason-22-05-25-1747941370/iperf_tcp_srv_192.168.3.225_9000_128K_0_0_32_0-127-256-383_sriovlegacy-workload-uno_sriovlegacy-workload-dos_1.log,1,sriovlegacy-workload-uno,sriovlegacy-workload-dos,tcp,srv,192.168.3.225,9000,128K,0,0,32,0-127-256-383,213,Gbits/sec
sriov-jason-22-05-25-1747941370/iperf_tcp_srv_192.168.3.225_9000_128K_0_0_32_0-127-256-383_sriovlegacy-workload-uno_sriovlegacy-workload-dos_2.log,2,sriovlegacy-workload-uno,sriovlegacy-workload-dos,tcp,srv,192.168.3.225,9000,128K,0,0,32,0-127-256-383,174,Gbits/sec
sriov-jason-22-05-25-1747941370/iperf_tcp_srv_192.168.3.225_9000_128K_0_0_32_0-127-256-383_sriovlegacy-workload-uno_sriovlegacy-workload-dos_3.log,3,sriovlegacy-workload-uno,sriovlegacy-workload-dos,tcp,srv,192.168.3.225,9000,128K,0,0,32,0-127-256-383,202,Gbits/sec
sriov-jason-22-05-25-1747941370/iperf_tcp_srv_192.168.3.226_9000_128K_0_0_32_0-127-256-383_sriovlegacy-workload-dos_sriovlegacy-workload-uno_0.log,0,sriovlegacy-workload-dos,sriovlegacy-workload-uno,tcp,srv,192.168.3.226,9000,128K,0,0,32,0-127-256-383,215,Gbits/sec
sriov-jason-22-05-25-1747941370/iperf_tcp_srv_192.168.3.226_9000_128K_0_0_32_0-127-256-383_sriovlegacy-workload-dos_sriovlegacy-workload-uno_1.log,1,sriovlegacy-workload-dos,sriovlegacy-workload-uno,tcp,srv,192.168.3.226,9000,128K,0,0,32,0-127-256-383,206,Gbits/sec
sriov-jason-22-05-25-1747941370/iperf_tcp_srv_192.168.3.226_9000_128K_0_0_32_0-127-256-383_sriovlegacy-workload-dos_sriovlegacy-workload-uno_2.log,2,sriovlegacy-workload-dos,sriovlegacy-workload-uno,tcp,srv,192.168.3.226,9000,128K,0,0,32,0-127-256-383,208,Gbits/sec
sriov-jason-22-05-25-1747941370/iperf_tcp_srv_192.168.3.226_9000_128K_0_0_32_0-127-256-383_sriovlegacy-workload-dos_sriovlegacy-workload-uno_3.log,3,sriovlegacy-workload-dos,sriovlegacy-workload-uno,tcp,srv,192.168.3.226,9000,128K,0,0,32,0-127-256-383,208,Gbits/sec
