path,trial,server,client,protocol,role,srvip,mtu,bufsize,winsize,bitrate,par,affin,bw,units
100trialdefaultbios-23-05-25-1748010211/iperf_tcp_clt_192.168.3.225_9000_128K_0_0_32_0-127-256-383_sriovlegacy-workload-uno_sriovlegacy-workload-dos_0.log,0,sriovlegacy-workload-uno,sriovlegacy-workload-dos,tcp,clt,192.168.3.225,9000,128K,0,0,32,0-127-256-383,209,Gbits/sec
100trialdefaultbios-23-05-25-1748010211/iperf_tcp_clt_192.168.3.225_9000_128K_0_0_32_0-127-256-383_sriovlegacy-workload-uno_sriovlegacy-workload-dos_10.log,10,sriovlegacy-workload-uno,sriovlegacy-workload-dos,tcp,clt,192.168.3.225,9000,128K,0,0,32,0-127-256-383,195,Gbits/sec
100trialdefaultbios-23-05-25-1748010211/iperf_tcp_clt_192.168.3.225_9000_128K_0_0_32_0-127-256-383_sriovlegacy-workload-uno_sriovlegacy-workload-dos_11.log,11,sriovlegacy-workload-uno,sriovlegacy-workload-dos,tcp,clt,192.168.3.225,9000,128K,0,0,32,0-127-256-383,212,Gbits/sec
100trialdefaultbios-23-05-25-1748010211/iperf_tcp_clt_192.168.3.225_9000_128K_0_0_32_0-127-256-383_sriovlegacy-workload-uno_sriovlegacy-workload-dos_12.log,12,sriovlegacy-workload-uno,sriovlegacy-workload-dos,tcp,clt,192.168.3.225,9000,128K,0,0,32,0-127-256-383,206,Gbits/sec
100trialdefaultbios-23-05-25-1748010211/iperf_tcp_clt_192.168.3.225_9000_128K_0_0_32_0-127-256-383_sriovlegacy-workload-uno_sriovlegacy-workload-dos_13.log,13,sriovlegacy-workload-uno,sriovlegacy-workload-dos,tcp,clt,192.168.3.225,9000,128K,0,0,32,0-127-256-383,216,Gbits/sec
100trialdefaultbios-23-05-25-1748010211/iperf_tcp_clt_192.168.3.225_9000_128K_0_0_32_0-127-256-383_sriovlegacy-workload-uno_sriovlegacy-workload-dos_14.log,14,sriovlegacy-workload-uno,sriovlegacy-workload-dos,tcp,clt,192.168.3.225,9000,128K,0,0,32,0-127-256-383,210,Gbits/sec
100trialdefaultbios-23-05-25-1748010211/iperf_tcp_clt_192.168.3.225_9000_128K_0_0_32_0-127-256-383_sriovlegacy-workload-uno_sriovlegacy-workload-dos_15.log,15,sriovlegacy-workload-uno,sriovlegacy-workload-dos,tcp,clt,192.168.3.225,9000,128K,0,0,32,0-127-256-383,193,Gbits/sec
100trialdefaultbios-23-05-25-1748010211/iperf_tcp_clt_192.168.3.225_9000_128K_0_0_32_0-127-256-383_sriovlegacy-workload-uno_sriovlegacy-workload-dos_16.log,16,sriovlegacy-workload-uno,sriovlegacy-workload-dos,tcp,clt,192.168.3.225,9000,128K,0,0,32,0-127-256-383,202,Gbits/sec
100trialdefaultbios-23-05-25-1748010211/iperf_tcp_clt_192.168.3.225_9000_128K_0_0_32_0-127-256-383_sriovlegacy-workload-uno_sriovlegacy-workload-dos_17.log,17,sriovlegacy-workload-uno,sriovlegacy-workload-dos,tcp,clt,192.168.3.225,9000,128K,0,0,32,0-127-256-383,210,Gbits/sec
100trialdefaultbios-23-05-25-1748010211/iperf_tcp_clt_192.168.3.225_9000_128K_0_0_32_0-127-256-383_sriovlegacy-workload-uno_sriovlegacy-workload-dos_18.log,18,sriovlegacy-workload-uno,sriovlegacy-workload-dos,tcp,clt,192.168.3.225,9000,128K,0,0,32,0-127-256-383,205,Gbits/sec
