---------------------------------------------------------------------------------------
                    RDMA_Read BW Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 128
 CQ Moderation   : 100
 CQE Poll Batch  : 16
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 3
 Outstand reads  : 16
 rdma_cm QPs	 : ON
 Data ex. method : rdma_cm 	TOS    : 41
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x0206 PSN 0x39ed6f
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:03:226
 remote address: LID 0000 QPN 0x1246 PSN 0xc4ce42
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:03:225
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[Gb/sec]    BW average[Gb/sec]   MsgRate[Mpps]
 2          1000           0.033613            0.033048            2.065518
 4          1000           0.067797            0.066960            2.092488
 8          1000             0.13               0.13   		     2.019001
 16         1000             0.27               0.27   		     2.090214
 32         1000             0.54               0.53   		     2.089036
 64         1000             1.04               1.04   		     2.024006
 128        1000             2.12               2.12   		     2.067568
 256        1000             4.14               4.10   		     2.003045
 512        1000             8.56               8.51   		     2.078612
 1024       1000             17.00              16.59  		     2.025481
 2048       1000             34.52              34.40  		     2.099517
 4096       1000             65.65              64.39  		     1.965138
 8192       1000             98.37              96.89  		     1.478394
 16384      1000             136.60             136.15 		     1.038756
 32768      1000             143.89             143.63 		     0.547906
 65536      1000             136.91             125.85 		     0.240033
 131072     1000             129.97             96.97  		     0.092481
 262144     1000             201.19             149.44 		     0.071256
 524288     1000             216.25             151.79 		     0.036188
 1048576    1000             217.98             171.20 		     0.020408
 2097152    1000             217.91             213.30 		     0.012714
 4194304    1000             219.74             219.74 		     0.006549
 8388608    1000             221.33             221.33 		     0.003298
---------------------------------------------------------------------------------------
