---------------------------------------------------------------------------------------
                    RDMA_Read BW Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 128
 CQ Moderation   : 100
 CQE Poll Batch  : 16
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 3
 Outstand reads  : 16
 rdma_cm QPs	 : ON
 Data ex. method : rdma_cm 	TOS    : 41
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x12d0 PSN 0x3884a9
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:03:225
 remote address: LID 0000 QPN 0x0290 PSN 0xa4301a
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:03:226
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[Gb/sec]    BW average[Gb/sec]   MsgRate[Mpps]
 2          1000           0.055470            0.054259            3.391210
 4          1000             0.11               0.11   		     3.480079
 8          1000             0.23               0.22   		     3.496139
 16         1000             0.45               0.45   		     3.497362
 32         1000             0.90               0.90   		     3.514691
 64         1000             1.79               1.69   		     3.307861
 128        1000             3.58               3.55   		     3.470658
 256        1000             7.16               7.13   		     3.479347
 512        1000             14.29              13.73  		     3.352889
 1024       1000             28.71              28.50  		     3.478853
 2048       1000             53.58              53.42  		     3.260406
 4096       1000             79.36              79.32  		     2.420721
 8192       1000             97.33              97.29  		     1.484472
 16384      1000             141.78             141.78 		     1.081662
 32768      1000             182.16             182.06 		     0.694502
 65536      1000             209.01             209.00 		     0.398627
 131072     1000             220.74             220.74 		     0.210513
 262144     1000             222.24             217.36 		     0.103644
 524288     1000             221.97             221.36 		     0.052776
 1048576    1000             223.00             223.00 		     0.026584
 2097152    1000             223.98             223.98 		     0.013350
 4194304    1000             224.47             224.47 		     0.006690
 8388608    1000             224.73             224.73 		     0.003349
---------------------------------------------------------------------------------------
