---------------------------------------------------------------------------------------
                    RDMA_Read BW Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 2		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 128
 CQ Moderation   : 100
 CQE Poll Batch  : 16
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 3
 Outstand reads  : 16
 rdma_cm QPs	 : ON
 Data ex. method : rdma_cm 	TOS    : 41
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x0208 PSN 0xf4fba8
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:03:226
 local address: LID 0000 QPN 0x0209 PSN 0xf8072
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:03:226
 remote address: LID 0000 QPN 0x1248 PSN 0x1c946a
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:03:225
 remote address: LID 0000 QPN 0x1249 PSN 0x1d70c
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:03:225
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[Gb/sec]    BW average[Gb/sec]   MsgRate[Mpps]
 2          2000           0.033994            0.033802            2.112624
 4          2000           0.066055            0.065479            2.046203
 8          2000             0.14               0.13   		     2.085201
 16         2000             0.27               0.27   		     2.083658
 32         2000             0.54               0.53   		     2.081425
 64         2000             1.07               1.07   		     2.082032
 128        2000             2.15               2.13   		     2.081945
 256        2000             4.35               4.28   		     2.088424
 512        2000             8.69               8.49   		     2.073420
 1024       2000             17.41              17.27  		     2.108504
 2048       2000             34.13              33.88  		     2.067675
 4096       2000             68.78              67.73  		     2.066863
 8192       2000             133.08             131.15 		     2.001121
 16384      2000             138.98             138.88 		     1.059597
 32768      2000             129.72             129.68 		     0.494697
 65536      2000             184.64             72.44  		     0.138164
 131072     2000             205.33             146.97 		     0.140166
 262144     2000             214.54             190.06 		     0.090629
 524288     2000             219.87             210.28 		     0.050135
 1048576    2000             220.12             217.29 		     0.025903
 2097152    2000             221.42             219.37 		     0.013076
 4194304    2000             221.27             221.27 		     0.006594
 8388608    2000             227.55             227.55 		     0.003391
---------------------------------------------------------------------------------------
