---------------------------------------------------------------------------------------
                    RDMA_Read BW Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 2		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 128
 CQ Moderation   : 100
 CQE Poll Batch  : 16
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 3
 Outstand reads  : 16
 rdma_cm QPs	 : ON
 Data ex. method : rdma_cm 	TOS    : 41
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x12d2 PSN 0xcc47d4
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:03:225
 local address: LID 0000 QPN 0x12d3 PSN 0x30ea65
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:03:225
 remote address: LID 0000 QPN 0x0292 PSN 0x3e94d8
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:03:226
 remote address: LID 0000 QPN 0x0293 PSN 0xbd4d19
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:03:226
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[Gb/sec]    BW average[Gb/sec]   MsgRate[Mpps]
 2          2000           0.059302            0.057761            3.610035
 4          2000             0.12               0.12   		     3.604839
 8          2000             0.24               0.23   		     3.662065
 16         2000             0.47               0.46   		     3.566144
 32         2000             0.94               0.92   		     3.598546
 64         2000             1.90               1.88   		     3.673161
 128        2000             3.79               3.65   		     3.568180
 256        2000             7.10               5.80   		     2.831296
 512        2000             15.13              14.63  		     3.571301
 1024       2000             30.07              29.46  		     3.596539
 2048       2000             60.04              59.25  		     3.616049
 4096       2000             110.87             110.77 		     3.380320
 8192       2000             175.96             175.87 		     2.683590
 16384      2000             185.01             184.81 		     1.410024
 32768      2000             213.86             213.79 		     0.815528
 65536      2000             227.69             213.91 		     0.408001
 131072     2000             225.15             221.47 		     0.211208
 262144     2000             225.93             225.93 		     0.107733
 524288     2000             227.16             227.16 		     0.054159
 1048576    2000             228.70             228.70 		     0.027263
 2097152    2000             227.51             227.51 		     0.013561
 4194304    2000             228.74             228.09 		     0.006798
 8388608    2000             229.48             229.48 		     0.003420
---------------------------------------------------------------------------------------
