---------------------------------------------------------------------------------------
                    RDMA_Write BW Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 128
 CQ Moderation   : 100
 CQE Poll Batch  : 16
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 3
 Max inline data : 0[B]
 rdma_cm QPs	 : ON
 Data ex. method : rdma_cm 	TOS    : 41
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x01c1 PSN 0x70297f
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:03:226
 remote address: LID 0000 QPN 0x1201 PSN 0x4a93c1
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:03:225
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[Gb/sec]    BW average[Gb/sec]   MsgRate[Mpps]
 2          5000           0.032967            0.032099            2.006171
 4          5000           0.066667            0.065704            2.053262
 8          5000             0.13               0.13   		     2.066133
 16         5000             0.27               0.27   		     2.080100
 32         5000             0.54               0.53   		     2.089331
 64         5000             1.07               1.06   		     2.074654
 128        5000             2.12               2.11   		     2.056158
 256        5000             4.27               4.23   		     2.065911
 512        5000             8.47               8.38   		     2.046798
 1024       5000             17.05              16.88  		     2.060437
 2048       5000             33.63              33.30  		     2.032762
 4096       5000             64.84              64.05  		     1.954622
 8192       5000             105.85             105.56 		     1.610659
 16384      5000             125.02             44.97  		     0.343129
 32768      5000             214.25             188.11 		     0.717564
 65536      5000             219.02             143.82 		     0.274323
 131072     5000             222.28             173.98 		     0.165916
 262144     5000             223.26             199.94 		     0.095340
 524288     5000             223.61             210.54 		     0.050198
 1048576    5000             223.82             217.23 		     0.025896
 2097152    5000             223.87             221.46 		     0.013200
 4194304    5000             223.71             223.21 		     0.006652
 8388608    5000             224.14             224.14 		     0.003340
---------------------------------------------------------------------------------------
