---------------------------------------------------------------------------------------
                    RDMA_Write BW Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 128
 CQ Moderation   : 100
 CQE Poll Batch  : 16
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 3
 Max inline data : 0[B]
 rdma_cm QPs	 : ON
 Data ex. method : rdma_cm 	TOS    : 41
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x128b PSN 0xc5a016
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:03:225
 remote address: LID 0000 QPN 0x024b PSN 0xaa2961
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:03:226
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[Gb/sec]    BW average[Gb/sec]   MsgRate[Mpps]
 2          5000           0.033145            0.032741            2.046302
 4          5000           0.066116            0.065130            2.035325
 8          5000             0.13               0.13   		     2.029880
 16         5000             0.27               0.26   		     2.057579
 32         5000             0.53               0.53   		     2.060029
 64         5000             1.06               1.04   		     2.032264
 128        5000             2.12               2.09   		     2.041791
 256        5000             4.88               4.82   		     2.351957
 512        5000             8.48               8.42   		     2.055144
 1024       5000             16.77              16.55  		     2.020733
 2048       5000             33.24              32.95  		     2.010859
 4096       5000             65.54              64.63  		     1.972402
 8192       5000             109.47             108.66 		     1.658061
 16384      5000             151.86             44.19  		     0.337160
 32768      5000             172.26             149.42 		     0.569994
 65536      5000             217.89             180.13 		     0.343562
 131072     5000             222.37             183.27 		     0.174783
 262144     5000             223.26             201.35 		     0.096013
 524288     5000             223.61             210.57 		     0.050203
 1048576    5000             223.80             216.16 		     0.025768
 2097152    5000             223.87             221.64 		     0.013211
 4194304    5000             223.76             223.44 		     0.006659
 8388608    5000             224.25             224.25 		     0.003342
---------------------------------------------------------------------------------------
