---------------------------------------------------------------------------------------
                    RDMA_Write BW Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 2		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 128
 CQ Moderation   : 100
 CQE Poll Batch  : 16
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 3
 Max inline data : 0[B]
 rdma_cm QPs	 : ON
 Data ex. method : rdma_cm 	TOS    : 41
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x01c3 PSN 0x961c59
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:03:226
 local address: LID 0000 QPN 0x01c4 PSN 0x3571cf
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:03:226
 remote address: LID 0000 QPN 0x1203 PSN 0xee9d84
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:03:225
 remote address: LID 0000 QPN 0x1204 PSN 0xb8655
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:03:225
---------------------------------------------------------------------------------------
 #bytes     #iterations    BW peak[Gb/sec]    BW average[Gb/sec]   MsgRate[Mpps]
 2          10000           0.033025            0.032702            2.043880
 4          10000           0.066359            0.065717            2.053671
 8          10000            0.13               0.13   		     2.062106
 16         10000            0.27               0.26   		     2.066036
 32         10000            0.53               0.53   		     2.066201
 64         10000            1.07               1.06   		     2.073673
 128        10000            2.13               2.12   		     2.067701
 256        10000            4.24               4.22   		     2.062107
 512        10000            8.46               8.45   		     2.062383
 1024       10000            16.97              16.87  		     2.059546
 2048       10000            33.54              33.28  		     2.031212
 4096       10000            64.28              25.24  		     0.770215
 8192       10000            150.93             117.43 		     1.791845
 16384      10000            157.12             115.13 		     0.878346
 32768      10000            223.50             156.51 		     0.597023
 65536      10000            226.94             183.91 		     0.350788
 131072     10000            227.64             205.33 		     0.195819
 262144     10000            228.06             217.57 		     0.103745
 524288     10000            226.71             221.87 		     0.052898
 1048576    10000            228.25             226.06 		     0.026949
 2097152    10000            226.49             225.97 		     0.013469
 4194304    10000            226.95             226.95 		     0.006764
 8388608    10000            227.39             227.39 		     0.003388
---------------------------------------------------------------------------------------
