Disabling dynamic polling
---------------------------------------------------------------------------------------
                    RDMA_Read Latency Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 1
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 3
 Outstand reads  : 16
 rdma_cm QPs	 : ON
 Data ex. method : rdma_cm 	TOS    : 41
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x0164 PSN 0xcc4281
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:101:96
 remote address: LID 0000 QPN 0x0165 PSN 0x330245
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:101:91
---------------------------------------------------------------------------------------
 #bytes #iterations    t_min[usec]    t_max[usec]  t_typical[usec]    t_avg[usec]    t_stdev[usec]   99% percentile[usec]   99.9% percentile[usec] 
 2       1000          5.40           15.65        5.45     	       5.49        	0.44   		5.70    		15.65  
 4       1000          5.41           19.89        5.47     	       5.54        	0.70   		5.86    		19.89  
 8       1000          5.40           12.84        5.45     	       5.48        	0.29   		5.62    		12.84  
 16      1000          5.40           15.08        5.45     	       5.49        	0.35   		5.63    		15.08  
 32      1000          5.41           17.84        5.46     	       5.50        	0.47   		5.67    		17.84  
 64      1000          5.42           18.10        5.47     	       5.53        	0.56   		5.64    		18.10  
 128     1000          5.43           14.73        5.50     	       5.55        	0.51   		5.66    		14.73  
 256     1000          5.48           10.69        5.52     	       5.54        	0.16   		5.72    		10.69  
 512     1000          5.53           14.72        5.59     	       5.65        	0.39   		5.88    		14.72  
 1024    1000          5.65           11.40        5.71     	       5.74        	0.24   		5.88    		11.40  
 2048    1000          5.85           15.52        5.89     	       5.94        	0.41   		6.13    		15.52  
 4096    1000          6.28           18.63        6.34     	       6.39        	0.45   		6.61    		18.63  
 8192    1000          6.78           15.27        6.83     	       6.86        	0.34   		7.04    		15.27  
 16384   1000          8.09           17.60        8.16     	       8.20        	0.32   		8.56    		17.60  
 32768   1000          8.90           18.65        9.00     	       9.05        	0.32   		9.70    		18.65  
 65536   1000          10.62          17.24        10.71    	       10.75       	0.26   		11.35   		17.24  
 131072  1000          14.90          23.60        15.02    	       15.09       	0.53   		17.95   		23.60  
 262144  1000          22.93          30.79        23.06    	       23.13       	0.34   		24.77   		30.79  
 524288  1000          25.74          2157.24      29.46    	       35.98       	71.35  		135.31  		2157.24
 1048576 1000          44.61          2492.07      48.28    	       52.91       	32.72  		157.34  		2492.07
 2097152 1000          81.74          428.67       85.50    	       87.09       	5.76   		116.88  		428.67 
 4194304 1000          155.84         487.26       163.65   	       165.88      	10.44  		228.56  		487.26 
 8388608 1000          305.37         732.99       308.32   	       312.78      	28.77  		532.74  		732.99 
---------------------------------------------------------------------------------------
