test,mtu,qp,srvnode,cltnode,gpu_serv,gpu_clt,metric,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,0,0,avg,0.055571,0.11,0.23,0.46,0.88,1.81,3.61,6.82,14.47,28.89,52.68,92.17,113.13,129.34,147.27,155.12,162.26,162.37,162.53,161.78,162.16,162.16,162.18
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,0,1,avg,0.052012,0.12,0.23,0.45,0.92,1.85,3.54,7.4,14.93,29.73,53.08,81.77,96.44,108.18,109.1,109.27,105.85,109.28,108.96,108.78,108.72,108.86,108.87
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,0,2,avg,0.033037,0.063461,0.13,0.26,0.53,1.06,2.06,4.17,8.2,15.98,31.7,42.69,43.69,43.23,47.66,58.96,63.97,54.82,70.89,71.94,72.35,72.76,73.15
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,0,3,avg,0.032925,0.06676,0.13,0.27,0.53,1.05,2.13,4.14,8.34,17.07,33.39,41.35,43.67,43.13,47.93,59.3,63.94,68.69,70.96,72.19,72.55,72.87,73.02
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,1,0,avg,0.03408,0.066911,0.14,0.27,0.53,1.09,2.15,4.23,8.72,17.63,34.45,72.11,96.58,108.43,109.53,109.9,110.01,110.01,110.03,110.04,109.94,109.78,109.95
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,1,1,avg,0.030647,0.066394,0.13,0.31,0.52,1.07,2.15,4.14,8.61,17.25,33.81,71.62,96.72,105.06,107.95,108.71,109.01,109.04,109.08,108.96,109.09,109.09,109.03
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,1,2,avg,0.033854,0.068924,0.14,0.27,0.55,1.06,2.17,4.36,8.45,17.43,34.21,50.65,50.49,47.42,52.0,66.89,77.51,86.05,92.13,93.9,95.43,95.97,96.11
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,1,3,avg,0.03459,0.069366,0.14,0.28,0.56,1.09,2.16,4.45,8.68,17.34,35.59,49.19,51.41,84.87,49.95,64.97,76.96,86.31,91.56,93.52,94.86,95.22,95.91
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,2,0,avg,0.051406,0.12,0.23,0.47,0.96,1.78,3.59,7.5,14.11,15.16,34.11,46.1,53.18,59.29,64.93,78.77,95.99,106.09,112.59,115.55,116.74,117.62,117.94
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,2,1,avg,0.060287,0.12,0.24,0.48,0.97,1.27,3.88,7.72,14.4,23.65,34.95,45.25,53.46,54.28,60.04,76.69,86.78,92.88,96.37,97.88,100.0,100.71,100.62
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,2,2,avg,0.032145,0.065033,0.13,0.26,0.5,1.0,2.07,4.1,8.12,16.5,31.99,31.09,31.96,31.78,42.39,53.06,58.98,64.01,65.76,67.17,67.79,67.78,67.71
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,2,3,avg,0.05852,0.11,0.24,0.47,0.89,1.91,3.79,7.77,12.92,19.96,28.68,34.15,38.6,33.33,44.75,54.37,60.91,65.21,67.95,68.74,69.67,69.77,70.12
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,3,0,avg,0.033716,0.063999,0.13,0.27,0.53,1.07,2.14,4.2,8.43,16.85,33.92,70.2,53.43,101.22,110.6,79.52,98.51,106.06,112.72,114.82,117.02,117.66,118.09
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,3,1,avg,0.055509,0.11,0.23,0.44,0.89,1.86,3.74,7.52,13.71,23.61,31.59,45.84,55.26,58.41,60.24,77.22,86.02,91.85,96.12,99.19,99.82,100.47,100.78
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,3,2,avg,0.033679,0.065038,0.13,0.3,0.54,1.08,2.11,4.34,8.39,16.97,28.33,33.28,38.49,33.09,44.24,54.18,59.41,65.76,68.14,68.83,70.06,69.59,69.57
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,3,3,avg,0.032782,0.066572,0.13,0.27,0.53,1.06,2.09,4.25,8.25,16.87,28.05,28.71,31.0,30.35,43.06,63.68,56.52,67.15,65.83,67.07,66.93,67.04,67.98
ib_read_bw,9000,2,mocr4pcc02u31,mocr4pcc02u32,0,0,avg,0.057128,0.12,0.24,0.47,0.94,1.86,3.79,6.09,15.16,29.71,56.37,113.3,128.2,142.64,156.76,168.34,168.26,168.39,167.28,167.32,168.81,168.49,168.1
ib_read_bw,9000,2,mocr4pcc02u31,mocr4pcc02u32,0,1,avg,0.057101,0.12,0.24,0.46,0.91,1.83,3.85,7.46,15.02,31.14,60.06,105.14,105.27,109.21,109.38,109.76,110.1,109.57,109.98,109.99,109.39,109.77,109.96
ib_read_bw,9000,2,mocr4pcc02u31,mocr4pcc02u32,0,2,avg,0.054026,0.11,0.23,0.44,0.9,1.82,3.58,7.3,14.34,28.66,44.62,44.83,43.91,49.22,58.91,64.85,69.76,71.22,73.5,74.83,74.09,73.83,73.74
ib_read_bw,9000,2,mocr4pcc02u31,mocr4pcc02u32,0,3,avg,0.055418,0.11,0.23,0.44,0.89,1.79,3.58,7.08,15.22,30.74,44.22,43.97,43.19,46.82,59.44,65.23,68.56,71.33,73.68,73.05,74.1,73.78,73.94
ib_read_bw,9000,2,mocr4pcc02u31,mocr4pcc02u32,1,0,avg,0.033317,0.067117,0.14,0.27,0.53,1.07,2.11,4.27,8.56,17.23,32.77,69.99,107.91,109.29,109.83,109.96,110.03,110.05,110.06,109.93,109.85,109.96,109.93
ib_read_bw,9000,2,mocr4pcc02u31,mocr4pcc02u32,1,1,avg,0.061608,0.13,0.24,0.5,1.0,1.97,3.96,8.22,16.25,33.06,68.65,8.33,101.5,107.58,108.59,109.1,109.42,109.49,109.56,109.53,109.58,109.52,109.57
ib_read_bw,9000,2,mocr4pcc02u31,mocr4pcc02u32,1,2,avg,0.034481,0.069438,0.14,0.28,0.55,1.1,2.21,4.46,8.93,17.76,45.22,90.55,47.31,52.16,68.65,85.44,94.47,98.12,101.06,102.13,102.87,99.43,100.37
ib_read_bw,9000,2,mocr4pcc02u31,mocr4pcc02u32,1,3,avg,0.059218,0.13,0.26,0.48,1.02,2.04,4.09,8.34,16.33,33.74,48.1,49.83,47.63,52.25,68.16,83.25,92.53,97.84,101.48,101.46,103.33,103.84,103.74
ib_read_bw,9000,2,mocr4pcc02u31,mocr4pcc02u32,2,0,avg,0.059214,0.12,0.24,0.48,0.96,1.95,3.8,7.65,15.22,29.55,56.99,62.13,61.45,61.71,85.15,100.16,108.5,115.7,119.15,116.35,129.62,123.01,125.99
ib_read_bw,9000,2,mocr4pcc02u31,mocr4pcc02u32,2,1,avg,0.058459,0.066385,0.13,0.27,0.52,1.07,2.13,4.28,8.5,30.28,55.98,60.95,61.02,62.15,77.13,87.72,94.04,98.7,100.65,100.34,100.36,101.08,103.63
ib_read_bw,9000,2,mocr4pcc02u31,mocr4pcc02u32,2,2,avg,0.056516,0.12,0.23,0.46,0.94,1.83,3.67,7.44,14.31,28.75,33.08,33.82,31.06,43.29,54.41,60.26,63.35,65.79,67.18,68.28,68.17,68.04,68.21
ib_read_bw,9000,2,mocr4pcc02u31,mocr4pcc02u32,2,3,avg,0.032267,0.065154,0.13,0.26,0.52,1.04,2.08,4.1,6.72,16.22,32.31,41.64,36.91,42.41,54.68,61.32,66.94,69.96,70.44,71.23,70.77,71.14,71.08
ib_read_bw,9000,2,mocr4pcc02u31,mocr4pcc02u32,3,0,avg,0.032622,0.066024,0.13,0.26,0.53,1.06,2.1,4.22,8.41,17.01,32.2,75.92,61.68,61.69,84.03,97.26,114.73,115.84,118.55,121.17,122.41,123.08,123.27
ib_read_bw,9000,2,mocr4pcc02u31,mocr4pcc02u32,3,1,avg,0.052565,0.11,0.24,0.47,0.67,1.93,3.82,7.83,15.32,30.82,54.09,60.05,59.75,60.17,77.51,88.58,94.29,98.2,99.25,100.34,103.9,102.69,102.04
ib_read_bw,9000,2,mocr4pcc02u31,mocr4pcc02u32,3,2,avg,0.058374,0.11,0.23,0.47,0.95,1.85,3.66,7.52,14.53,29.21,42.29,41.68,34.6,43.6,54.3,63.03,66.55,67.94,69.92,70.92,70.98,70.88,72.08
ib_read_bw,9000,2,mocr4pcc02u31,mocr4pcc02u32,3,3,avg,0.032081,0.065311,0.13,0.26,0.5,1.04,2.08,4.18,7.98,16.57,32.2,32.2,32.74,44.47,54.3,59.34,63.59,65.33,66.74,67.32,68.05,68.15,67.75
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,0,0,avg,0.032123,0.066924,0.13,0.27,0.53,1.05,2.13,4.27,8.5,17.05,34.14,68.37,132.97,164.64,167.23,168.7,166.24,169.49,169.21,167.4,167.46,164.93,147.16
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,0,1,avg,0.057381,0.12,0.24,0.48,0.95,1.88,3.84,7.7,15.54,31.18,62.08,108.4,109.58,110.07,110.77,108.67,112.24,109.59,109.86,109.73,109.7,109.6,108.08
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,0,2,avg,0.05647,0.12,0.23,0.45,0.93,1.87,3.71,7.49,14.89,29.73,46.13,44.98,49.31,58.49,65.33,68.71,71.0,72.05,72.7,73.24,73.25,73.22,72.36
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,0,3,avg,0.032877,0.066648,0.13,0.27,0.53,1.07,2.14,4.27,8.56,17.07,33.32,44.85,50.88,59.41,65.3,68.69,70.99,72.56,72.62,73.15,73.09,73.31,72.5
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,1,0,avg,0.058539,0.13,0.25,0.5,1.0,2.03,4.0,7.95,16.1,32.25,60.6,108.28,109.55,109.92,110.01,110.04,110.06,109.94,110.07,110.0,109.95,110.02,109.97
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,1,1,avg,0.032651,0.068577,0.14,0.27,0.55,1.09,2.19,4.36,8.83,17.49,35.65,72.34,107.54,108.34,109.1,109.44,109.54,109.46,109.5,109.56,109.59,109.55,109.54
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,1,2,avg,0.063265,0.13,0.26,0.52,1.04,2.07,4.15,8.33,16.71,33.5,51.13,49.94,54.3,71.22,85.95,92.88,97.81,101.48,102.07,103.17,102.25,103.33,104.42
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,1,3,avg,0.05157,0.13,0.25,0.5,1.01,2.01,3.98,7.88,16.11,16.61,35.42,50.23,52.58,70.33,82.28,89.83,96.25,101.37,103.1,103.29,101.35,104.15,104.08
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,2,0,avg,0.032521,0.06586,0.13,0.27,0.53,1.06,2.11,4.19,8.42,16.95,33.58,65.11,65.75,82.24,97.72,107.74,120.53,116.98,117.7,118.29,120.06,118.41,125.1
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,2,1,avg,0.060383,0.12,0.25,0.49,0.99,1.94,3.97,8.1,16.19,32.17,63.5,65.17,63.57,77.01,86.52,93.59,104.66,97.64,99.35,99.17,98.84,99.19,99.05
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,2,2,avg,0.032617,0.06569,0.13,0.26,0.61,0.95,2.1,4.23,8.42,16.61,32.97,34.24,45.11,54.26,60.12,64.44,66.09,67.27,68.53,68.15,68.95,68.95,68.66
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,2,3,avg,0.033123,0.066912,0.13,0.27,0.53,1.07,2.13,4.24,8.54,17.05,33.59,39.8,43.9,55.48,63.82,65.16,66.89,69.51,69.09,69.16,69.74,72.17,71.58
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,3,0,avg,0.032497,0.066279,0.13,0.26,0.53,1.06,2.11,4.22,8.41,16.86,33.73,65.23,66.88,84.58,96.49,106.44,111.89,115.41,117.44,118.91,119.38,118.47,117.77
ib_read_bw,9000,4,mocr4pcc02u31,mocr4pcc02u32,3,1,avg,0.058682,0.12,0.24,0.48,0.97,1.94,3.43,7.86,15.13,30.96,61.68,64.85,61.19,78.23,84.76,92.12,96.54,97.8,107.68,98.0,98.56,99.32,99.48
