test,mtu,qp,srvnode,cltnode,gpu_serv,gpu_clt,metric,2,4,8,16,32,64,128,256,512,1024,2048,4096,8192,16384,32768,65536,131072,262144,524288,1048576,2097152,4194304,8388608
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,0,0,avg,0.055388,0.11,0.23,0.45,0.9,1.79,3.53,6.92,13.5,25.26,43.81,71.7,88.52,89.46,89.71,89.7,89.75,89.78,89.8,89.68,89.66,89.65,89.66
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,0,1,avg,0.054783,0.11,0.23,0.45,0.88,1.79,3.58,6.93,13.52,25.29,43.86,71.83,88.83,89.48,89.71,89.67,89.76,89.48,89.57,89.68,89.66,89.66,89.66
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,0,2,avg,0.05555,0.11,0.23,0.46,0.91,1.8,3.57,6.91,13.54,25.57,43.7,71.71,88.89,89.47,89.73,89.68,89.57,89.72,89.54,89.68,89.65,89.66,89.66
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,0,3,avg,0.05571,0.11,0.23,0.45,0.91,1.81,3.57,6.9,13.57,25.27,43.87,71.73,88.9,89.45,89.72,89.69,89.75,89.67,89.79,89.68,89.65,89.66,89.66
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,1,0,avg,0.058727,0.12,0.24,0.48,0.96,1.87,3.74,7.26,14.02,26.58,45.24,73.76,88.91,89.49,89.73,89.65,89.76,89.67,89.54,89.68,89.66,89.66,89.66
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,1,1,avg,0.058923,0.12,0.24,0.48,0.95,1.86,3.67,7.21,13.97,26.65,45.59,73.63,88.86,89.46,89.72,89.7,89.75,89.71,89.5,89.65,89.66,89.66,89.66
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,1,2,avg,0.058369,0.12,0.24,0.48,0.95,1.86,3.74,7.25,14.17,26.74,45.65,73.68,88.23,89.45,89.73,89.69,89.76,89.77,89.8,89.68,89.66,89.66,89.66
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,1,3,avg,0.058769,0.12,0.24,0.48,0.97,1.88,3.72,7.3,14.18,26.77,45.52,73.8,88.88,89.48,89.73,89.68,89.76,89.42,89.8,89.68,89.66,89.66,89.66
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,2,0,avg,0.050732,0.11,0.22,0.43,0.87,1.71,3.4,6.58,12.9,24.39,42.45,69.57,88.82,89.43,89.71,89.69,89.75,89.78,89.8,89.68,89.66,89.66,89.66
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,2,1,avg,0.053762,0.11,0.22,0.43,0.87,1.71,3.37,6.57,12.84,24.49,42.52,70.08,88.82,89.45,89.71,89.7,89.76,89.77,89.8,89.68,89.66,89.65,89.66
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,2,2,avg,0.053349,0.11,0.21,0.43,0.87,1.71,3.36,6.56,12.87,24.42,42.5,69.9,88.81,89.45,89.71,89.69,89.75,89.5,89.63,89.68,89.66,89.66,89.65
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,2,3,avg,0.053214,0.11,0.22,0.43,0.88,1.72,3.41,6.69,12.78,24.36,42.41,69.86,88.85,89.46,89.71,89.7,89.75,89.52,89.77,89.67,89.66,89.66,89.66
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,3,0,avg,0.053606,0.11,0.22,0.44,0.88,1.72,3.34,6.69,12.91,24.43,42.28,69.76,88.79,89.47,89.72,89.67,89.76,89.77,89.75,89.57,89.66,89.66,89.66
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,3,1,avg,0.052901,0.11,0.22,0.44,0.87,1.72,3.41,6.6,12.91,23.98,42.39,69.74,88.84,89.49,89.72,89.7,89.76,89.78,89.8,89.68,89.66,89.66,89.66
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,3,2,avg,0.053783,0.11,0.22,0.44,0.88,1.71,3.4,6.6,12.86,24.39,42.46,69.86,88.85,89.46,89.71,89.7,89.75,89.77,89.8,89.68,89.65,89.66,89.65
ib_read_bw,9000,1,mocr4pcc02u31,mocr4pcc02u32,3,3,avg,0.053686,0.11,0.22,0.44,0.88,1.58,3.39,6.66,12.87,24.35,42.44,69.78,88.8,89.44,89.7,89.7,89.75,89.78,89.59,89.68,89.65,89.65,89.65
ib_read_bw,9000,2,mocr4pcc02u31,mocr4pcc02u32,0,0,avg,0.058279,0.12,0.24,0.48,0.94,1.87,3.74,7.58,14.12,27.62,56.37,108.07,163.0,164.07,166.11,168.65,170.74,169.51,170.01,171.33,171.35,171.39,171.33
ib_read_bw,9000,2,mocr4pcc02u31,mocr4pcc02u32,0,1,avg,0.089248,0.18,0.37,0.73,1.46,2.84,5.77,11.47,22.82,46.23,83.74,135.8,151.21,166.59,167.89,168.74,171.35,171.15,171.25,171.44,171.39,171.46,171.5
ib_read_bw,9000,2,mocr4pcc02u31,mocr4pcc02u32,0,2,avg,0.082513,0.16,0.34,0.67,1.37,2.61,5.44,10.68,21.58,40.91,82.43,136.75,163.44,165.45,169.34,168.94,170.04,170.84,171.38,171.42,171.37,171.48,171.39
