Disabling dynamic polling
---------------------------------------------------------------------------------------
                    RDMA_Read Latency Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 1
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 3
 Outstand reads  : 16
 rdma_cm QPs	 : ON
 Data ex. method : rdma_cm 	TOS    : 41
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x0156 PSN 0x738ffa
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:100:94
 remote address: LID 0000 QPN 0x0156 PSN 0xa86036
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:100:92
---------------------------------------------------------------------------------------
 #bytes #iterations    t_min[usec]    t_max[usec]  t_typical[usec]    t_avg[usec]    t_stdev[usec]   99% percentile[usec]   99.9% percentile[usec] 
 2       1000          4.96           14.78        5.04     	       5.08        	0.28   		5.44    		14.78  
 4       1000          4.96           12.09        5.03     	       5.06        	0.22   		5.19    		12.09  
 8       1000          4.96           14.54        5.04     	       5.07        	0.39   		5.24    		14.54  
 16      1000          4.96           14.61        5.04     	       5.07        	0.20   		5.23    		14.61  
 32      1000          4.96           12.49        5.04     	       5.09        	0.38   		5.30    		12.49  
 64      1000          4.98           18.04        5.06     	       5.09        	0.37   		5.24    		18.04  
 128     1000          4.99           15.15        5.08     	       5.12        	0.35   		5.25    		15.15  
 256     1000          5.04           13.13        5.12     	       5.15        	0.36   		5.38    		13.13  
 512     1000          5.06           15.96        5.14     	       5.20        	0.53   		5.48    		15.96  
 1024    1000          5.15           14.79        5.22     	       5.25        	0.39   		5.38    		14.79  
 2048    1000          5.31           11.56        5.39     	       5.42        	0.23   		5.59    		11.56  
 4096    1000          5.68           19.22        5.75     	       5.79        	0.37   		5.90    		19.22  
 8192    1000          5.84           12.43        5.94     	       5.97        	0.22   		6.14    		12.43  
 16384   1000          7.14           13.44        7.26     	       7.29        	0.25   		7.49    		13.44  
 32768   1000          7.75           17.45        7.87     	       7.92        	0.39   		8.41    		17.45  
 65536   1000          8.94           17.50        9.06     	       9.10        	0.35   		9.54    		17.50  
 131072  1000          11.24          23.28        11.38    	       11.46       	0.74   		15.25   		23.28  
 262144  1000          16.71          24.03        16.86    	       16.94       	0.48   		20.85   		24.03  
 524288  1000          26.27          76.09        26.60    	       26.68       	0.43   		28.82   		76.09  
 1048576 1000          46.49          87.60        46.76    	       46.89       	0.56   		51.08   		87.60  
 2097152 1000          87.46          130.61       87.83    	       88.00       	1.31   		90.20   		130.61 
 4194304 1000          169.47         212.25       169.89   	       170.12      	1.68   		174.52  		212.25 
 8388608 1000          334.98         377.33       335.67   	       336.09      	2.85   		353.33  		377.33 
---------------------------------------------------------------------------------------
