Disabling dynamic polling
---------------------------------------------------------------------------------------
                    RDMA_Read Latency Test
 Dual-port       : OFF		Device         : mlx5_2
 Number of qps   : 1		Transport type : IB
 Connection type : RC		Using SRQ      : OFF
 PCIe relax order: ON		Lock-free      : OFF
 ibv_wr* API     : ON		Using DDP      : OFF
 TX depth        : 1
 Mtu             : 4096[B]
 Link type       : Ethernet
 GID index       : 3
 Outstand reads  : 16
 rdma_cm QPs	 : ON
 Data ex. method : rdma_cm 	TOS    : 41
---------------------------------------------------------------------------------------
 local address: LID 0000 QPN 0x014d PSN 0xb82896
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:100:94
 remote address: LID 0000 QPN 0x014d PSN 0x767654
 GID: 00:00:00:00:00:00:00:00:00:00:255:255:192:168:100:92
---------------------------------------------------------------------------------------
 #bytes #iterations    t_min[usec]    t_max[usec]  t_typical[usec]    t_avg[usec]    t_stdev[usec]   99% percentile[usec]   99.9% percentile[usec] 
 2       1000          4.94           14.36        5.02     	       5.06        	0.34   		5.32    		14.36  
 4       1000          4.94           11.03        5.02     	       5.04        	0.16   		5.18    		11.03  
 8       1000          4.94           9.66         5.02     	       5.04        	0.13   		5.19    		9.66   
 16      1000          4.94           11.13        5.02     	       5.05        	0.18   		5.21    		11.13  
 32      1000          4.95           13.85        5.02     	       5.06        	0.30   		5.20    		13.85  
 64      1000          4.96           14.98        5.05     	       5.10        	0.55   		5.38    		14.98  
 128     1000          4.98           11.29        5.06     	       5.09        	0.21   		5.27    		11.29  
 256     1000          5.02           9.94         5.10     	       5.12        	0.10   		5.30    		9.94   
 512     1000          5.05           14.64        5.12     	       5.15        	0.21   		5.33    		14.64  
 1024    1000          5.13           9.53         5.21     	       5.23        	0.16   		5.40    		9.53   
 2048    1000          5.30           10.90        5.37     	       5.40        	0.22   		5.55    		10.90  
 4096    1000          5.66           10.57        5.74     	       5.77        	0.22   		5.96    		10.57  
 8192    1000          5.83           12.89        5.92     	       5.95        	0.23   		6.11    		12.89  
 16384   1000          7.14           17.74        7.24     	       7.28        	0.39   		7.41    		17.74  
 32768   1000          7.72           10.06        7.93     	       7.94        	0.11   		8.11    		10.06  
 65536   1000          9.03           19.12        9.16     	       9.21        	0.50   		10.15   		19.12  
 131072  1000          11.34          16.16        11.46    	       11.48       	0.16   		12.01   		16.16  
 262144  1000          16.83          27.44        17.00    	       17.07       	0.64   		17.36   		27.44  
 524288  1000          26.29          32.78        26.56    	       26.67       	0.29   		28.15   		32.78  
 1048576 1000          46.51          60.03        46.77    	       46.92       	0.59   		51.63   		60.03  
 2097152 1000          87.57          123.86       87.85    	       88.05       	1.36   		90.81   		123.86 
 4194304 1000          170.12         220.36       170.70   	       170.90      	1.61   		175.26  		220.36 
 8388608 1000          335.00         387.53       335.68   	       336.10      	3.43   		361.41  		387.53 
---------------------------------------------------------------------------------------
